trait	gene_id	lead_SNP	lead_SNP_class	final_call	call_source	evidence_tier	sp_vs_interpro_agreement	sp_name	sp_accession	sp_organism	sp_pident	sp_qcovhsp	sp_evalue	sp_status	interpro_status	n_interpro	interpro_ids	interpro_descs	n_pfam	pfam_ids	pfam_descs	n_go	go_terms	nr_title	nr_accession	nr_pident	nr_qcovs	nr_evalue	nr_status	legacy_annotation
betaglucan	HORVU.MOREX.r3.2HG0112910	2H:41996626	significant	Pectinesterase 1	swissprot	HIGH	concordant	Pectinesterase 1	O04886	Citrus sinensis	49.2	90.3	1.87e-157	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	6	IPR000070;IPR006501;IPR011050;IPR012334;IPR033131;IPR035513	IPR011050:Pectin lyase fold/virulence factor; IPR006501:Pectinesterase inhibitor domain; IPR000070:Pectinesterase, catalytic; IPR035513:Invertase/pectin methylesterase inhibitor domain superfamily; IPR012334:Pectin lyase fold; IPR033131:Pectinesterase, Asp active site	2	PF01095;PF04043	PF01095:Pectinesterase; PF04043:Plant invertase/pectin methylesterase inhibitor	3	GO:0004857;GO:0030599;GO:0042545	NA	NA	NA	NA	NA	NA	pectinesterase-like | Gene role: likely a cell wall remodeling enzyme (pectin methylesterase/pectinesterase-like) involved in modifying pectin structure and cell wall properties.
betaglucan	HORVU.MOREX.r3.2HG0112920	2H:41996626	significant	Probable acyl-CoA dehydrogenase IBR3	swissprot	HIGH	concordant	Probable acyl-CoA dehydrogenase IBR3	Q8RWZ3	Arabidopsis thaliana	68.8	99.8	0	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	10	IPR002575;IPR006091;IPR009075;IPR009100;IPR011009;IPR013786;IPR036250;IPR037069;IPR041726;IPR046373	IPR009100:Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily; IPR037069:Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily; IPR009075:Acyl-CoA dehydrogenase/oxidase, C-terminal; IPR036250:Acyl-CoA dehydrogenase-like, C-terminal; IPR041726:Acyl-CoA dehydrogenase family member 10/11, N-terminal; IPR013786:Acyl-CoA dehydrogenase/oxidase, N-terminal; IPR046373:Acyl-CoA oxidase/dehydrogenase, middle domain superfamily; IPR002575:Aminoglycoside phosphotransferase; IPR011009:Protein kinase-like domain superfamily; IPR006091:Acyl-CoA dehydrogenase/oxidase, middle domain	4	PF00441;PF01636;PF02770;PF02771	PF00441:Acyl-CoA dehydrogenase, C-terminal domain; PF02771:Acyl-CoA dehydrogenase, N-terminal domain; PF01636:Phosphotransferase enzyme family; PF02770:Acyl-CoA dehydrogenase, middle domain	5	GO:0003995;GO:0005737;GO:0016627;GO:0033539;GO:0050660	NA	NA	NA	NA	NA	NA	probable acyl-CoA dehydrogenase IBR3 / probable acyl-CoA dehydrogenase IBR3 | Gene role: likely a metabolic enzyme involved in fatty acid/peroxisomal metabolism.
betaglucan	HORVU.MOREX.r3.2HG0191420	2H:602246902	significant	Acyclic sesquiterpene synthase	swissprot	HIGH	concordant	Acyclic sesquiterpene synthase	Q84ZW8	Zea mays	67.2	81.5	7.17e-231	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	7	IPR001906;IPR005630;IPR008930;IPR008949;IPR036965;IPR044814;IPR050148	IPR008949:Isoprenoid synthase domain superfamily; IPR001906:Terpene synthase, N-terminal domain; IPR036965:Terpene synthase, N-terminal domain superfamily; IPR008930:Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid; IPR044814:Terpene cyclases, class 1, plant; IPR050148:Terpene synthase-like; IPR005630:Terpene synthase, metal-binding domain	2	PF01397;PF03936	PF01397:Terpene synthase, N-terminal domain; PF03936:Terpene synthase family, metal binding domain	5	GO:0000287;GO:0010333;GO:0016102;GO:0016114;GO:0016829	NA	NA	NA	NA	NA	NA	cyclic sesquiterpene synthase-like | Gene role: likely a NAC family transcription factor, i.e. a broad transcriptional regulator involved in development and stress-related gene expression.
betaglucan	HORVU.MOREX.r3.2HG0191430	2H:602246902	significant	Probable RNA-binding protein 19	swissprot	MEDIUM	concordant	Probable RNA-binding protein 19	Q9Y4C8	Homo sapiens	33	96.2	1.19e-116	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	5	IPR000504;IPR003954;IPR012677;IPR034423;IPR035979	IPR000504:RNA recognition motif domain; IPR003954:RNA recognition motif domain, eukaryotic-type; IPR035979:RNA-binding domain superfamily; IPR012677:Nucleotide-binding alpha-beta plait domain superfamily; IPR034423:Probable RNA-binding protein 19, RNA recognition motif 5	1	PF00076	PF00076:RNA recognition motif	2	GO:0003676;GO:0003723	NA	NA	NA	NA	NA	NA	NEED TO ADD ANNOTATION
betaglucan	HORVU.MOREX.r3.2HG0191470	2H:602246902	significant	Protein ECERIFERUM 26-like	swissprot	MEDIUM	discordant	Protein ECERIFERUM 26-like	Q9LIS1	Arabidopsis thaliana	35.3	97.3	7.41e-74	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	2	IPR023213;IPR050317	IPR023213:Chloramphenicol acetyltransferase-like domain superfamily; IPR050317:Plant and Fungal Acyltransferase	1	PF02458	PF02458:Transferase family	1	GO:0016747	NA	NA	NA	NA	NA	NA	protein ECERIFERUM 26-like | Gene role: likely a wax/VLCFA elongation-related protein involved in cuticular lipid metabolism.
betaglucan	HORVU.MOREX.r3.2HG0191510	2H:602246902	significant	Protein of unknown function DUF247, plant	interpro	MEDIUM	discordant	UPF0481 protein At3g47200	Q9SD53	Arabidopsis thaliana	25.6	66.1	1.97e-11	WEAK_OR_NO_HIT	INTERPRO_MATCH	1	IPR004158	IPR004158:Protein of unknown function DUF247, plant	1	PF03140	PF03140:Plant protein of unknown function	0		NA	NA	NA	NA	NA	NA	UPF0481 protein At3g47200-like - Uncharacterized protein
betaglucan	HORVU.MOREX.r3.2HG0191520	2H:602246902	significant	Protein of unknown function DUF247, plant	interpro	MEDIUM	discordant	UPF0481 protein At3g47200	Q9SD53	Arabidopsis thaliana	28.3	64.2	1.51e-17	WEAK_OR_NO_HIT	INTERPRO_MATCH	1	IPR004158	IPR004158:Protein of unknown function DUF247, plant	1	PF03140	PF03140:Plant protein of unknown function	0		NA	NA	NA	NA	NA	NA	UPF0481 protein At3g47200 [Aegilops tauschii subsp. strangulata] | Gene role: likely an uncharacterized DUF247/UPF0481 family protein, with a possible cell wall-associated role based on related family members.
betaglucan	HORVU.MOREX.r3.2HG0191530	2H:602246902	significant	Cytosolic sulfotransferase 8	swissprot	HIGH	concordant	Cytosolic sulfotransferase 8	Q9FX56	Arabidopsis thaliana	42.9	83.9	1.37e-77	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	2	IPR000863;IPR027417	IPR027417:P-loop containing nucleoside triphosphate hydrolase; IPR000863:Sulfotransferase domain	1	PF00685	PF00685:Sulfotransferase domain	1	GO:0008146	NA	NA	NA	NA	NA	NA	cytosolic sulfotransferase 8-like | Gene role: likely a cytosolic sulfotransferase enzyme involved in sulfate conjugation of small molecules in sulfur/secondary metabolism.
betaglucan	HORVU.MOREX.r3.2HG0191540	2H:602246902	significant	Protein of unknown function DUF247, plant	interpro	MEDIUM	discordant	UPF0481 protein At3g47200	Q9SD53	Arabidopsis thaliana	25.4	71.8	8.65e-13	WEAK_OR_NO_HIT	INTERPRO_MATCH	1	IPR004158	IPR004158:Protein of unknown function DUF247, plant	1	PF03140	PF03140:Plant protein of unknown function	0		NA	NA	NA	NA	NA	NA	Uncharacterized protein
betaglucan	HORVU.MOREX.r3.3HG0299440	3H:537247620	significant	AP2/ERF domain; AP2/ERF domain superfamily; DNA-binding domain superfamily; Ethylene-responsive transcription factor	interpro	MEDIUM	concordant	Ethylene-responsive transcription factor ERF110	Q70II3	Arabidopsis thaliana	83.6	19.2	1.48e-34	WEAK_OR_NO_HIT	INTERPRO_MATCH	4	IPR001471;IPR016177;IPR036955;IPR044808	IPR001471:AP2/ERF domain; IPR036955:AP2/ERF domain superfamily; IPR016177:DNA-binding domain superfamily; IPR044808:Ethylene-responsive transcription factor	1	PF00847	PF00847:AP2 domain	4	GO:0003677;GO:0003700;GO:0006355;GO:0009873	NA	NA	NA	NA	NA	NA	APETALA2-like protein 5 | Gene role: AP2/ERF-family transcription factor involved in developmental and regulatory gene-expression programs.
betaglucan	HORVU.MOREX.r3.3HG0299450	3H:537247620	significant	Protein LIKE COV 2	swissprot	MEDIUM	discordant	Protein LIKE COV 2	Q9C8C1	Arabidopsis thaliana	72.6	99.2	3.88e-126	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	1	IPR007462	IPR007462:Protein CONTINUOUS VASCULAR RING 1-like	1	PF04367	PF04367:Protein of unknown function (DUF502)	1	GO:0005794	NA	NA	NA	NA	NA	NA	protein LIKE COV 2-like | Gene role: likely a COV1/COV-like developmental or cell-wall-associated protein, probably involved in tissue organization and cell wall-related development.
betaglucan	HORVU.MOREX.r3.3HG0299460	3H:537247620	significant	Polypyrimidine tract-binding protein homolog 3	swissprot	MEDIUM	discordant	Polypyrimidine tract-binding protein homolog 3	Q6ICX4	Arabidopsis thaliana	69.1	100	6.71e-222	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	5	IPR000504;IPR012677;IPR021790;IPR034797;IPR035979	IPR000504:RNA recognition motif domain; IPR035979:RNA-binding domain superfamily; IPR012677:Nucleotide-binding alpha-beta plait domain superfamily; IPR034797:PTBPH3, RNA recognition motif 3; IPR021790:PTBP1-like, RNA recognition motif 2	3	PF00076;PF11835;PF13893	PF00076:RNA recognition motif; PF13893:RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); PF11835:RRM-like domain	2	GO:0003676;GO:0003723	NA	NA	NA	NA	NA	NA	polypyrimidine tract-binding protein homolog 3-like | Gene role: likely an RNA-binding protein involved in pre-mRNA processing and alternative splicing.
betaglucan	HORVU.MOREX.r3.4HG0395770	4H:528254769	significant	Armadillo-like helical; SIL1/FES1/HPBP1	interpro	MEDIUM	single_source	NA	NA	NA	NA	NA	NA	WEAK_OR_NO_HIT	INTERPRO_MATCH	2	IPR011989;IPR050693	IPR011989:Armadillo-like helical; IPR050693:SIL1/FES1/HPBP1	0			2	GO:0000774;GO:0005783	NA	NA	NA	NA	NA	NA	NEED TO ADD ANNOTATION
betaglucan	HORVU.MOREX.r3.4HG0395810	4H:528254769	significant	MA3 DOMAIN-CONTAINING TRANSLATION REGULATORY FACTOR 2	swissprot	HIGH	concordant	MA3 DOMAIN-CONTAINING TRANSLATION REGULATORY FACTOR 2	O80548	Arabidopsis thaliana	57.8	91.6	3.21e-232	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	3	IPR003891;IPR016024;IPR039778	IPR003891:Initiation factor eIF-4 gamma, MA3; IPR016024:Armadillo-type fold; IPR039778:Programmed cell death protein 4	1	PF02847	PF02847:MA3 domain	1	GO:0045892	NA	NA	NA	NA	NA	NA	NEED TO ADD ANNOTATION
betaglucan	HORVU.MOREX.r3.6HG0627010	6H:545947347	marginal	DNA sliding clamp PCNA	swissprot	HIGH	concordant	DNA sliding clamp PCNA	P17070	Oryza sativa subsp. japonica	97.3	100	2.39e-179	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	5	IPR000730;IPR022648;IPR022649;IPR022659;IPR046938	IPR000730:Proliferating cell nuclear antigen, PCNA; IPR022648:Proliferating cell nuclear antigen, PCNA, N-terminal; IPR046938:DNA clamp superfamily; IPR022649:Proliferating cell nuclear antigen, PCNA, C-terminal; IPR022659:Proliferating cell nuclear antigen, PCNA, conserved site	2	PF00705;PF02747	PF00705:Proliferating cell nuclear antigen, N-terminal domain; PF02747:Proliferating cell nuclear antigen, C-terminal domain	7	GO:0003677;GO:0006272;GO:0006275;GO:0006298;GO:0019985;GO:0030337;GO:0043626	NA	NA	NA	NA	NA	NA	proliferating cell nuclear antigen | Gene role: a DNA replication and cell-cycle factor (PCNA) involved in DNA synthesis, replication fork function, and DNA repair.
betaglucan	HORVU.MOREX.r3.6HG0627060	6H:545947347	marginal	F-box/kelch-repeat protein At1g16250	swissprot	MEDIUM	concordant	F-box/kelch-repeat protein At1g16250	Q0WW40	Arabidopsis thaliana	32	51.3	2.54e-21	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	2	IPR006652;IPR015915	IPR015915:Kelch-type beta-propeller; IPR006652:Kelch repeat type 1	1	PF01344	PF01344:Kelch motif	1	GO:0005515	NA	NA	NA	NA	NA	NA	actin-binding protein IPP-like | Gene role: likely an actin-associated cytoskeletal protein involved in cell structure and intracellular organization.
betaglucan	HORVU.MOREX.r3.6HG0627090	6H:545947347	marginal	Quinone oxidoreductase PIG3	swissprot	HIGH	concordant	Quinone oxidoreductase PIG3	Q53FA7	Homo sapiens	42.6	99.4	3.15e-77	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	6	IPR011032;IPR013149;IPR013154;IPR014189;IPR020843;IPR036291	IPR020843:Enoylreductase domain; IPR013154:Alcohol dehydrogenase-like, N-terminal; IPR014189:Quinone oxidoreductase PIG3; IPR011032:GroES-like superfamily; IPR036291:NAD(P)-binding domain superfamily; IPR013149:Alcohol dehydrogenase-like, C-terminal	2	PF00107;PF08240	PF08240:Alcohol dehydrogenase GroES-like domain; PF00107:Zinc-binding dehydrogenase	3	GO:0016491;GO:0016651;GO:0070402	NA	NA	NA	NA	NA	NA	Gene role: likely a quinone oxidoreductase / redox enzyme involved in quinone detoxification and oxidative stress-related metabolism.
betaglucan	HORVU.MOREX.r3.6HG0627120	6H:545947347	marginal	ABC1 atypical kinase-like domain; Protein kinase domain; UbiB protein kinase; Protein kinase-like domain superfamily	interpro	MEDIUM	single_source	Uncharacterized protein sll0005	Q55680	Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa)	34.5	53.2	1.09e-86	WEAK_OR_NO_HIT	INTERPRO_MATCH	4	IPR000719;IPR004147;IPR011009;IPR050154	IPR004147:ABC1 atypical kinase-like domain; IPR000719:Protein kinase domain; IPR050154:UbiB protein kinase; IPR011009:Protein kinase-like domain superfamily	1	PF03109	PF03109:ABC1 atypical kinase-like domain	3	GO:0004672;GO:0005524;GO:0006468	NA	NA	NA	NA	NA	NA	protein ACTIVITY OF BC1 COMPLEX KINASE 3, chloroplastic | Gene role: Chloroplast-associated kinase involved in regulation of photosynthetic or energy-related processes.
betaglucan	HORVU.MOREX.r3.7HG0675580	7H:144534576	marginal	Disease resistance protein RGA5	swissprot	HIGH	concordant	Disease resistance protein RGA5	F7J0N2	Oryza sativa subsp. japonica	40	99.1	6.21e-108	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	8	IPR002182;IPR027417;IPR032675;IPR036388;IPR042197;IPR044974;IPR055414;IPR058922	IPR002182:NB-ARC; IPR027417:P-loop containing nucleoside triphosphate hydrolase; IPR044974:Disease resistance protein, plants; IPR036388:Winged helix-like DNA-binding domain superfamily; IPR042197:Apoptotic protease-activating factors, helical domain; IPR055414:Disease resistance R13L4/SHOC-2-like, LRR domain; IPR058922:Disease resistance protein, winged helix domain; IPR032675:Leucine-rich repeat domain superfamily	3	PF00931;PF23559;PF23598	PF00931:NB-ARC domain; PF23598:Leucine-rich repeat region; PF23559:Disease resistance protein Winged helix domain	3	GO:0006952;GO:0043531;GO:0098542	NA	NA	NA	NA	NA	NA	putative late blight resistance protein-R1B-14-like | disease resistance protein RGA5 / RGA5-like | Gene role: likely an NLR-type disease resistance protein with an NB-ARC domain, involved in pathogen recognition and immune signaling.
fiber	HORVU.MOREX.r3.1HG0051670	1H:344520079	marginal	Phospholipase D beta 1	swissprot	HIGH	concordant	Phospholipase D beta 1	P93733	Arabidopsis thaliana	71.3	72.9	0	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	5	IPR000008;IPR001736;IPR015679;IPR024632;IPR035892	IPR035892:C2 domain superfamily; IPR001736:Phospholipase D/Transphosphatidylase; IPR000008:C2 domain; IPR015679:Phospholipase D family; IPR024632:Phospholipase D, C-terminal	3	PF00168;PF00614;PF12357	PF00614:Phospholipase D Active site motif; PF12357:Phospholipase D C terminal; PF00168:C2 domain	4	GO:0003824;GO:0004630;GO:0005886;GO:0009395	NA	NA	NA	NA	NA	NA	phospholipase D gamma 1-like | Gene role: Phospholipase D family enzyme involved in membrane lipid turnover and signaling.
fiber	HORVU.MOREX.r3.4HG0339140	4H:24707376	significant	uncharacterized (conserved, unnamed)	none	LOW	none	NA	NA	NA	NA	NA	NA	WEAK_OR_NO_HIT	SIGNATURE_ONLY	0			0			0		uncharacterized protein LOC123451082	XP_044984029.1	100	100	3.19e-153	WEAK_OR_UNCHARACTERIZED_NR_HIT	Uncharacterized protein
fiber	HORVU.MOREX.r3.7HG0642350	7H:14817657	marginal	Chloramphenicol acetyltransferase-like domain superfamily; Plant and Fungal Acyltransferase	interpro	MEDIUM	concordant	Coniferyl alcohol acyltransferase	A1XWY7	Petunia hybrida	28.3	95.4	9.06e-37	WEAK_OR_NO_HIT	INTERPRO_MATCH	2	IPR023213;IPR050317	IPR023213:Chloramphenicol acetyltransferase-like domain superfamily; IPR050317:Plant and Fungal Acyltransferase	1	PF02458	PF02458:Transferase family	1	GO:0016747	NA	NA	NA	NA	NA	NA	Putative BAHD Acyltransferase | Gene role: Putative BAHD acyltransferase likely involved in acylation of cell wall-associated or secondary-metabolism compounds.
fiber	HORVU.MOREX.r3.7HG0642360	7H:14817657	marginal	BAG family molecular chaperone regulator 1	swissprot	HIGH	concordant	BAG family molecular chaperone regulator 1	Q0WUQ1	Arabidopsis thaliana	50.2	57.4	2.73e-58	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	5	IPR000626;IPR003103;IPR029071;IPR036533;IPR039773	IPR039773:Molecular chaperone regulator BAG; IPR000626:Ubiquitin-like domain; IPR003103:BAG domain; IPR036533:BAG domain superfamily; IPR029071:Ubiquitin-like domain superfamily	2	PF00240;PF02179	PF00240:Ubiquitin family; PF02179:BAG domain	5	GO:0000774;GO:0005515;GO:0005737;GO:0050821;GO:0051087	NA	NA	NA	NA	NA	NA	BAG family molecular chaperone regulator 1-like | Gene role: BAG-family co-chaperone regulator involved in protein folding, stress responses, and general cellular homeostasis.
fiber	HORVU.MOREX.r3.7HG0642460	7H:14817657	marginal	Protein LATERAL BRANCHING OXIDOREDUCTASE 1	swissprot	MEDIUM	concordant	Protein LATERAL BRANCHING OXIDOREDUCTASE 1	Q9LIF4	Arabidopsis thaliana	35.2	92.7	3.39e-58	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	5	IPR005123;IPR026992;IPR027443;IPR044861;IPR050295	IPR005123:Oxoglutarate/iron-dependent dioxygenase domain; IPR027443:Isopenicillin N synthase-like superfamily; IPR044861:Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain; IPR026992:Non-haem dioxygenase, N-terminal domain; IPR050295:Plant 2-oxoglutarate-dependent oxidoreductases	2	PF03171;PF14226	PF03171:2OG-Fe(II) oxygenase superfamily; PF14226:non-haem dioxygenase in morphine synthesis N-terminal	0		NA	NA	NA	NA	NA	NA	codeine O-demethylase-like | Gene role: Putative O-demethylase-like enzyme likely involved in secondary metabolite modification rather than core structural carbohydrate synthesis.
fiber	HORVU.MOREX.r3.7HG0729020	7H:573606306	significant	Probable high-affinity nitrate transporter 2.4	swissprot	HIGH	concordant	Probable high-affinity nitrate transporter 2.4	A2ZU80	Oryza sativa subsp. japonica	80.5	99.6	7.62e-257	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	4	IPR005829;IPR011701;IPR036259;IPR044772	IPR005829:Sugar transporter, conserved site; IPR011701:Major facilitator superfamily; IPR044772:Nitrate transporter; IPR036259:MFS transporter superfamily	1	PF07690	PF07690:Major Facilitator Superfamily	4	GO:0015112;GO:0016020;GO:0022857;GO:0055085	NA	NA	NA	NA	NA	NA	probable high-affinity nitrate transporter 2.4 | Gene role: High-affinity nitrate transporter involved in nitrate uptake and nitrogen nutrition.
fiber	HORVU.MOREX.r3.7HG0729090	7H:573606306	significant	Pentatricopeptide repeat-containing protein At3g61360	swissprot	MEDIUM	concordant	Pentatricopeptide repeat-containing protein At3g61360	Q9M2C8	Arabidopsis thaliana	33.3	86.1	2.23e-44	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	3	IPR002885;IPR011990;IPR051114	IPR011990:Tetratricopeptide-like helical domain superfamily; IPR002885:Pentatricopeptide repeat; IPR051114:Mitochondrial RNA Processing CCM1	2	PF01535;PF13041	PF01535:PPR repeat; PF13041:PPR repeat family	5	GO:0003729;GO:0005515;GO:0005739;GO:0006396;GO:0007005	NA	NA	NA	NA	NA	NA	Gene role: PPR/PRORP-domain protein likely involved in organellar RNA processing, including tRNA or other RNA maturation functions.
