trait	gene_id	chr	gene_start	gene_end	strand	win_start	win_end	locus_id	class	lead_SNP	lead_pos	lead_neg_log10p	dist_to_lead_bp	description
betaglucan	HORVU.MOREX.r3.6HG0627120	6H	545902046	545908078	-	545901046	545909078	betaglucan_6H_2	marginal	6H:545947347	545947347	6.654	-39269	Protein kinase superfamily protein [Source:Projected from Arabidopsis thaliana (AT2G39190) UniProtKB/TrEMBL;Acc:O80962]
betaglucan	HORVU.MOREX.r3.6HG0627150	6H	546116420	546118763	+	546115420	546119763	betaglucan_6H_2	marginal	6H:545947347	545947347	6.654	169073	NA
betaglucan	HORVU.MOREX.r3.7HG0675560	7H	144564197	144566988	+	144563197	144567988	betaglucan_7H_1	marginal	7H:144534576	144534576	6.769	29621	NA
betaglucan	HORVU.MOREX.r3.7HG0675570	7H	144702710	144703492	+	144701710	144704492	betaglucan_7H_1	marginal	7H:144534576	144534576	6.769	168134	NA
betaglucan	HORVU.MOREX.r3.7HG0675580	7H	144703832	144705436	+	144702832	144706436	betaglucan_7H_1	marginal	7H:144534576	144534576	6.769	169256	NA
fiber	HORVU.MOREX.r3.1HG0051660	1H	344376698	344378853	+	344375698	344379853	fiber_1H_1	marginal	1H:344520079	344520079	6.548	-141226	NA
fiber	HORVU.MOREX.r3.1HG0051670	1H	344378983	344385900	-	344377983	344386900	fiber_1H_1	marginal	1H:344520079	344520079	6.548	-134179	NA
fiber	HORVU.MOREX.r3.4HG0339140	4H	24791689	24793640	+	24790689	24794640	fiber_4H_1	significant	4H:24707376	24707376	6.9727	84313	NA
fiber	HORVU.MOREX.r3.7HG0642350	7H	14780718	14782145	+	14779718	14783145	fiber_7H_1	marginal	7H:14817657	14817657	6.731	-35512	NA
fiber	HORVU.MOREX.r3.7HG0642360	7H	14813488	14815418	-	14812488	14816418	fiber_7H_1	marginal	7H:14817657	14817657	6.731	-2239	NA
fiber	HORVU.MOREX.r3.7HG0642370	7H	14831792	14832100	+	14830792	14833100	fiber_7H_1	marginal	7H:14817657	14817657	6.731	14135	NA
fiber	HORVU.MOREX.r3.7HG0642420	7H	14914961	14916016	+	14913961	14917016	fiber_7H_1	marginal	7H:14817657	14817657	6.731	97304	NA
fiber	HORVU.MOREX.r3.7HG0642460	7H	14922844	14926256	-	14921844	14927256	fiber_7H_1	marginal	7H:14817657	14817657	6.731	105187	NA
fiber	HORVU.MOREX.r3.7HG0642480	7H	15004937	15006822	-	15003937	15007822	fiber_7H_1	marginal	7H:14817657	14817657	6.731	187280	NA
fiber	HORVU.MOREX.r3.7HG0729020	7H	573446798	573449876	+	573445798	573450876	fiber_7H_2	significant	7H:573606306	573606306	7.1456	-156430	High-affinity nitrate transporter, Nitrate transport, Auxin signalin [Source: Projected from Oryza sativa (Os01g0547600)]
fiber	HORVU.MOREX.r3.7HG0729030	7H	573604051	573605728	-	573603051	573606728	fiber_7H_2	significant	7H:573606306	573606306	7.1456	-578	NA
fiber	HORVU.MOREX.r3.7HG0729040	7H	573718137	573718745	-	573717137	573719745	fiber_7H_2	significant	7H:573606306	573606306	7.1456	111831	NA
fiber	HORVU.MOREX.r3.7HG0729050	7H	573726587	573727907	+	573725587	573728907	fiber_7H_2	significant	7H:573606306	573606306	7.1456	120281	NA
fiber	HORVU.MOREX.r3.7HG0729090	7H	573791554	573793005	+	573790554	573794005	fiber_7H_2	significant	7H:573606306	573606306	7.1456	185248	NA
fiber	HORVU.MOREX.r3.7HG0729100	7H	573793434	573794861	-	573792434	573795861	fiber_7H_2	significant	7H:573606306	573606306	7.1456	187128	NA
fiber	HORVU.MOREX.r3.7HG0729110	7H	573797500	573799871	+	573796500	573800871	fiber_7H_2	significant	7H:573606306	573606306	7.1456	191194	NA
fiber	HORVU.MOREX.r3.7HG0729120	7H	573800157	573802112	-	573799157	573803112	fiber_7H_2	significant	7H:573606306	573606306	7.1456	193851	Pentatricopeptide repeat-containing protein At5g44230 [Source:Projected from Arabidopsis thaliana (AT5G44230) UniProtKB/Swiss-Prot;Acc:Q9FFG8]
fiber	HORVU.MOREX.r3.7HG0729130	7H	573805532	573806294	-	573804532	573807294	fiber_7H_2	significant	7H:573606306	573606306	7.1456	199226	NA
protein	HORVU.MOREX.r3.3HG0245560	3H	106441309	106443936	+	106440309	106444936	protein_3H_1	significant	3H:106623911	106623911	6.84	-179975	NA
starch	HORVU.MOREX.r3.3HG0301650	3H	546327317	546327709	-	546326317	546328709	starch_3H_1	marginal	3H:546433616	546433616	6.282	-105907	NA
starch	HORVU.MOREX.r3.3HG0301700	3H	546468087	546468890	-	546467087	546469890	starch_3H_1	marginal	3H:546433616	546433616	6.282	34471	NA
starch	HORVU.MOREX.r3.3HG0301710	3H	546473709	546477564	+	546472709	546478564	starch_3H_1	marginal	3H:546433616	546433616	6.282	40093	Phosphate transporter 43 [Source:Projected from Arabidopsis thaliana (AT3G46980) UniProtKB/TrEMBL;Acc:A0A1I9LP04]
starch	HORVU.MOREX.r3.3HG0301720	3H	546479164	546483019	+	546478164	546484019	starch_3H_1	marginal	3H:546433616	546433616	6.282	45548	NA
starch	HORVU.MOREX.r3.3HG0301750	3H	546582184	546587549	+	546581184	546588549	starch_3H_1	marginal	3H:546433616	546433616	6.282	148568	NA
starch	HORVU.MOREX.r3.6HG0619820	6H	525613893	525627862	+	525612893	525628862	starch_6H_1	marginal	6H:525776080	525776080	6.444	-148218	NA
starch	HORVU.MOREX.r3.6HG0619890	6H	525913405	525914470	-	525912405	525915470	starch_6H_1	marginal	6H:525776080	525776080	6.444	137325	Allene oxide cyclase, Biosynthesis of jasmonic acid, Defence respons [Source: Projected from Oryza sativa (Os03g0438100)]
starch	HORVU.MOREX.r3.7HG0676500	7H	151239588	151240081	+	151238588	151241081	starch_7H_1	marginal	7H:151110354	151110354	6.362	129234	NA
starch	HORVU.MOREX.r3.7HG0729020	7H	573446798	573449876	+	573445798	573450876	starch_7H_2	marginal	7H:573606460	573606460	6.195	-156584	High-affinity nitrate transporter, Nitrate transport, Auxin signalin [Source: Projected from Oryza sativa (Os01g0547600)]
starch	HORVU.MOREX.r3.7HG0729030	7H	573604051	573605728	-	573603051	573606728	starch_7H_2	marginal	7H:573606460	573606460	6.195	-732	NA
starch	HORVU.MOREX.r3.7HG0729040	7H	573718137	573718745	-	573717137	573719745	starch_7H_2	marginal	7H:573606460	573606460	6.195	111677	NA
starch	HORVU.MOREX.r3.7HG0729050	7H	573726587	573727907	+	573725587	573728907	starch_7H_2	marginal	7H:573606460	573606460	6.195	120127	NA
starch	HORVU.MOREX.r3.7HG0729090	7H	573791554	573793005	+	573790554	573794005	starch_7H_2	marginal	7H:573606460	573606460	6.195	185094	NA
starch	HORVU.MOREX.r3.7HG0729100	7H	573793434	573794861	-	573792434	573795861	starch_7H_2	marginal	7H:573606460	573606460	6.195	186974	NA
starch	HORVU.MOREX.r3.7HG0729110	7H	573797500	573799871	+	573796500	573800871	starch_7H_2	marginal	7H:573606460	573606460	6.195	191040	NA
starch	HORVU.MOREX.r3.7HG0729120	7H	573800157	573802112	-	573799157	573803112	starch_7H_2	marginal	7H:573606460	573606460	6.195	193697	Pentatricopeptide repeat-containing protein At5g44230 [Source:Projected from Arabidopsis thaliana (AT5G44230) UniProtKB/Swiss-Prot;Acc:Q9FFG8]
starch	HORVU.MOREX.r3.7HG0729130	7H	573805532	573806294	-	573804532	573807294	starch_7H_2	marginal	7H:573606460	573606460	6.195	199072	NA
