"Trait","Predictor","PredLabel","n_sites","pearson_r","pearson_p","spearman_rho","spearman_p","direction_agreement","conclusion_differs","nonlinearity_flag","loo_r_min","loo_r_max","max_single_site_dr","fragile_one_site"
"β-glucan","Clay_pct","Clay (%)",29,-0.555190516552825,0.00177100334911324,-0.538916256157635,0.00255807310789025,TRUE,FALSE,FALSE,-0.612057406940356,-0.515097728316325,0.056866890387531,FALSE
"β-glucan","Precipitation","Precipitation (mm)",29,-0.506704921337383,0.00503114329291365,-0.506896551724138,0.00501188826345624,TRUE,FALSE,FALSE,-0.552929537638107,-0.453141573713749,0.0535633476236337,FALSE
"β-glucan","Organic_Carbon","Organic carbon (mg/kg)",29,-0.49380572800625,0.00648075256544273,-0.564039408866995,0.00143864702440778,TRUE,FALSE,FALSE,-0.584722020702566,-0.452489982583163,0.0909162926963158,FALSE
"β-glucan","Electrical_Cond","Electrical conductivity (mS/cm)",29,0.41431943804139,0.0254475557888753,0.195073891625616,0.310544126530532,TRUE,TRUE,FALSE,0.248453923170272,0.44380507093457,0.165865514871119,TRUE
"β-glucan","pH","pH",29,0.362711795355282,0.053140568671291,0.4262658908856,0.0211225968797157,TRUE,TRUE,FALSE,0.304763971849063,0.47803545829475,0.115323662939467,FALSE
"β-glucan","Total_N","Total N (mg/kg)",29,0.257270223910748,0.177880804283806,0.111330049261084,0.56532436375499,TRUE,FALSE,FALSE,0.0777595290592729,0.363080384458036,0.179510694851475,FALSE
"β-glucan","March_Temp","March temperature (°C)",29,0.202684054591509,0.291668014049548,0.254187192118227,0.183318577079597,TRUE,FALSE,FALSE,0.0945839326747635,0.255235659052619,0.108100121916746,FALSE
"Fiber","Sand_pct","Sand (%)",29,0.657559308506182,0.000106197472254626,0.533004926108374,0.00291057132668224,TRUE,FALSE,FALSE,0.564980282330965,0.767447061208114,0.109887752701933,FALSE
"Fiber","Clay_pct","Clay (%)",29,-0.631191534398452,0.000241178798882761,-0.624630541871921,0.000292404548933834,TRUE,FALSE,FALSE,-0.698878272239438,-0.547980819859504,0.0832107145389478,FALSE
"Fiber","Precipitation","Precipitation (mm)",29,-0.610364820208911,0.000438059176100413,-0.491133004926108,0.00682169323517257,TRUE,FALSE,FALSE,-0.671072911896501,-0.564594440460636,0.0607080916875896,FALSE
"Fiber","Electrical_Cond","Electrical conductivity (mS/cm)",29,0.335294034619136,0.0753930963526919,0.559605911330049,0.00159768225540902,TRUE,TRUE,TRUE,0.331429710937405,0.444039950733892,0.108745916114756,FALSE
"Fiber","pH","pH",29,0.32971522260027,0.0806913784650947,0.21633609953616,0.25966969898372,TRUE,FALSE,FALSE,0.227446130088205,0.405125269982123,0.102269092512065,FALSE
"Fiber","Organic_Carbon","Organic carbon (mg/kg)",29,-0.31460639391117,0.0964733388306012,-0.386699507389162,0.0382434651735619,TRUE,TRUE,FALSE,-0.392248670059512,-0.258528146313325,0.077642276148342,FALSE
"Fiber","March_Temp","March temperature (°C)",29,0.178915722872115,0.353079483746134,0.160591133004926,0.405301534238814,TRUE,FALSE,FALSE,0.0901777469467291,0.315506809093241,0.136591086221126,FALSE
"Fiber","Total_N","Total N (mg/kg)",29,0.117692682559552,0.543164387782711,0.141379310344828,0.464444549196038,TRUE,FALSE,FALSE,-0.0320912689788236,0.227856239452545,0.149783951538376,FALSE
