canonical_gene	source_accession	horvu_id	chr	gene_start	gene_end	strand	pct_identity	pct_coverage	evalue	reciprocal_best_hit	tblastn_horvu	tblastn_vs_blastp_agree	trait	nearest_lead_SNP	distance_bp	window_flag	tested_in_candidate_list	haplotype_significant_fdr	haplotype_trait_fdr_p
HvCslF6	B1P2T4	HORVU.MOREX.r3.7HG0698110	7H	366737825	366743758	-	100	100	0	Y	HORVU.MOREX.r3.7HG0698110	Y	fiber	7H:573606306	206862548	FAR	N	NA	NA
HvCslF6	B1P2T4	HORVU.MOREX.r3.7HG0698110	7H	366737825	366743758	-	100	100	0	Y	HORVU.MOREX.r3.7HG0698110	Y	starch	7H:573606460	206862702	FAR	N	NA	NA
HvCslF7	B1P2T5	HORVU.MOREX.r3.5HG0526760	5H	564286875	564290400	-	97.28	100	0	Y	HORVU.MOREX.r3.5HG0526760	Y	betaglucan	5H:224439424	339847451	FAR	N	NA	NA
HvCslF7	B1P2T5	HORVU.MOREX.r3.5HG0526760	5H	564286875	564290400	-	97.28	100	0	Y	HORVU.MOREX.r3.5HG0526760	Y	fiber	NA	NA	FAR	N	NA	NA
HvCslF7	B1P2T5	HORVU.MOREX.r3.5HG0526760	5H	564286875	564290400	-	97.28	100	0	Y	HORVU.MOREX.r3.5HG0526760	Y	starch	NA	NA	FAR	N	NA	NA
HvCslF8	B1P2T6	HORVU.MOREX.r3.2HG0136570	2H	180218335	180226887	-	100	100	0	Y	HORVU.MOREX.r3.2HG0136570	Y	betaglucan	2H:41996626	138221709	FAR	N	NA	NA
HvCslF8	B1P2T6	HORVU.MOREX.r3.2HG0136570	2H	180218335	180226887	-	100	100	0	Y	HORVU.MOREX.r3.2HG0136570	Y	fiber	NA	NA	FAR	N	NA	NA
HvCslF8	B1P2T6	HORVU.MOREX.r3.2HG0136570	2H	180218335	180226887	-	100	100	0	Y	HORVU.MOREX.r3.2HG0136570	Y	starch	NA	NA	FAR	N	NA	NA
HvCslF9	B1P2T7	HORVU.MOREX.r3.1HG0024140	1H	95241409	95245532	-	99.86	86	0	Y	HORVU.MOREX.r3.1HG0024140	Y	betaglucan	1H:479493867	384248335	FAR	N	NA	NA
HvCslF9	B1P2T7	HORVU.MOREX.r3.1HG0024140	1H	95241409	95245532	-	99.86	86	0	Y	HORVU.MOREX.r3.1HG0024140	Y	fiber	1H:344520079	249274547	FAR	N	NA	NA
HvCslF9	B1P2T7	HORVU.MOREX.r3.1HG0024140	1H	95241409	95245532	-	99.86	86	0	Y	HORVU.MOREX.r3.1HG0024140	Y	starch	NA	NA	FAR	N	NA	NA
HvCslH1	ACN67534.1	HORVU.MOREX.r3.2HG0168310	2H	475735626	475738921	-	99.73	100	0	Y	HORVU.MOREX.r3.2HG0168310	Y	betaglucan	2H:602246902	126507981	FAR	N	NA	NA
HvCslH1	ACN67534.1	HORVU.MOREX.r3.2HG0168310	2H	475735626	475738921	-	99.73	100	0	Y	HORVU.MOREX.r3.2HG0168310	Y	fiber	NA	NA	FAR	N	NA	NA
HvCslH1	ACN67534.1	HORVU.MOREX.r3.2HG0168310	2H	475735626	475738921	-	99.73	100	0	Y	HORVU.MOREX.r3.2HG0168310	Y	starch	NA	NA	FAR	N	NA	NA
HvGlb1_EI	Q02345	HORVU.MOREX.r3.1HG0059470	1H	396004386	396008448	+	100	100	0	Y	HORVU.MOREX.r3.1HG0059470	Y	betaglucan	1H:479493867	83485419	FAR	N	NA	NA
HvGlb1_EI	Q02345	HORVU.MOREX.r3.1HG0059470	1H	396004386	396008448	+	100	100	0	Y	HORVU.MOREX.r3.1HG0059470	Y	fiber	1H:344520079	51484307	FAR	N	NA	NA
HvGlb1_EI	Q02345	HORVU.MOREX.r3.1HG0059470	1H	396004386	396008448	+	100	100	0	Y	HORVU.MOREX.r3.1HG0059470	Y	starch	NA	NA	FAR	N	NA	NA
HvGlb2_EII	P12257	HORVU.MOREX.r3.7HG0750120	7H	624446253	624450551	-	99.68	100	0	Y	HORVU.MOREX.r3.7HG0750120	Y	betaglucan	7H:144534576	479911677	FAR	N	NA	NA
HvGlb2_EII	P12257	HORVU.MOREX.r3.7HG0750120	7H	624446253	624450551	-	99.68	100	0	Y	HORVU.MOREX.r3.7HG0750120	Y	fiber	7H:573606306	50839947	FAR	N	NA	NA
HvGlb2_EII	P12257	HORVU.MOREX.r3.7HG0750120	7H	624446253	624450551	-	99.68	100	0	Y	HORVU.MOREX.r3.7HG0750120	Y	starch	7H:573606460	50839793	FAR	N	NA	NA
