trait,gene_id,chr,gene_start,gene_end,strand,lead_SNP,class,lead_neg_log10p,dist_to_lead_bp,locus_id,n_snps_window,status,fail_status,best_MGmin,best_epsilon,best_n_ind,best_n_groups,best_group_sizes,best_kw_p_raw,best_kw_p_holm_within_gene,trait_fdr_p,trait_bonferroni_p,significant_fdr,significant_bonferroni,n_unique_valid_tests,n_total_valid_tests_before_collapse,description,combined_pdf_path,heatmap_pdf_path,heatmap_dir,gene_file
betaglucan,HORVU.MOREX.r3.2HG0191530,2H,602348071,602349788,+,2H:602246902,significant,7.0568,101169,betaglucan_2H_2,40,SIGNIFICANT_FDR_and_BONF,"",3,0.2,242,2,27|215,7.19988331597603e-05,0.000863985997917123,0.00408429744469913,0.0449272718916904,TRUE,TRUE,12,13,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0191530/MGmin_3/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0191530__MGmin3__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0191530/MGmin_3/Heatmaps__HORVU.MOREX.r3.2HG0191530__MGmin3__Eps0p2.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0191530,HORVU.MOREX.r3.2HG0191530.vcf.gz
betaglucan,HORVU.MOREX.r3.6HG0627010,6H,545865221,545867012,+,6H:545947347,marginal,6.654,-80335,betaglucan_6H_2,22,SIGNIFICANT_FDR_only,"",2,0.2,231,2,36|195,0.000432758203861239,0.00129827461158372,0.0056258566501961,0.0675102798023532,TRUE,FALSE,3,9,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.6HG0627010/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.6HG0627010__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.6HG0627010/MGmin_2/Heatmaps__HORVU.MOREX.r3.6HG0627010__MGmin2__Eps0p2.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.6HG0627010,HORVU.MOREX.r3.6HG0627010.vcf.gz
betaglucan,HORVU.MOREX.r3.2HG0191510,2H,602174554,602176050,+,2H:602246902,significant,7.0568,-70852,betaglucan_2H_2,43,SIGNIFICANT_FDR_only,"",3,0.2,227,4,23|34|45|125,0.000141339834402559,0.00155473817842815,0.00577474180559028,0.0808463852782639,TRUE,FALSE,11,13,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0191510/MGmin_3/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0191510__MGmin3__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0191510/MGmin_3/Heatmaps__HORVU.MOREX.r3.2HG0191510__MGmin3__Eps0p2.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0191510,HORVU.MOREX.r3.2HG0191510.vcf.gz
betaglucan,HORVU.MOREX.r3.6HG0627090,6H,545891735,545895434,+,6H:545947347,marginal,6.654,-51913,betaglucan_6H_2,12,SIGNIFICANT_FDR_only,"",2,0.05,238,2,14|224,0.000369192792888267,0.00147677117155307,0.00577474180559028,0.0767921009207595,TRUE,FALSE,4,12,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.6HG0627090/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.6HG0627090__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.6HG0627090/MGmin_2/Heatmaps__HORVU.MOREX.r3.6HG0627090__MGmin2__Eps0p05.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.6HG0627090,HORVU.MOREX.r3.6HG0627090.vcf.gz
betaglucan,HORVU.MOREX.r3.2HG0112910,2H,42192269,42196145,+,2H:41996626,significant,8.906,195643,betaglucan_2H_1,6,SIGNIFICANT_FDR_only,"",2,0.8,206,4,12|22|64|108,0.00110928185795767,0.00221856371591534,0.00750459235417674,0.115365313227598,TRUE,FALSE,2,3,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0112910/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0112910__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0112910/MGmin_2/Heatmaps__HORVU.MOREX.r3.2HG0112910__MGmin2__Eps0p8.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0112910,HORVU.MOREX.r3.2HG0112910.vcf.gz
betaglucan,HORVU.MOREX.r3.6HG0627060,6H,545882309,545883905,+,6H:545947347,marginal,6.654,-63442,betaglucan_6H_2,12,SIGNIFICANT_FDR_only,"",3,0.6,230,2,26|204,0.000461821067949338,0.00230910533974669,0.00750459235417674,0.120073477666828,TRUE,FALSE,5,8,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.6HG0627060/MGmin_3/CrosshapTree+Violin__HORVU.MOREX.r3.6HG0627060__MGmin3__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.6HG0627060/MGmin_3/Heatmaps__HORVU.MOREX.r3.6HG0627060__MGmin3__Eps0p6.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.6HG0627060,HORVU.MOREX.r3.6HG0627060.vcf.gz
betaglucan,HORVU.MOREX.r3.2HG0112890,2H,42173620,42173856,-,2H:41996626,significant,8.906,176994,betaglucan_2H_1,5,SIGNIFICANT_FDR_only,"",2,0.8,250,2,58|192,0.00287713924987162,0.00287713924987162,0.00831173561074023,0.149611240993324,TRUE,FALSE,1,2,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0112890/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0112890__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0112890/MGmin_2/Heatmaps__HORVU.MOREX.r3.2HG0112890__MGmin2__Eps0p8.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0112890,HORVU.MOREX.r3.2HG0112890.vcf.gz
betaglucan,HORVU.MOREX.r3.3HG0299450,3H,537111608,537116152,+,3H:537247620,significant,7.9751,-131468,betaglucan_3H_1,14,SIGNIFICANT_FDR_only,"",2,0.4,196,3,11|48|137,0.000454651880236726,0.00272791128142036,0.00831173561074023,0.141851386633859,TRUE,FALSE,6,9,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.3HG0299450/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.3HG0299450__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.3HG0299450/MGmin_2/Heatmaps__HORVU.MOREX.r3.3HG0299450__MGmin2__Eps0p4.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.3HG0299450,HORVU.MOREX.r3.3HG0299450.vcf.gz
betaglucan,HORVU.MOREX.r3.1HG0077700,1H,479339892,479341891,-,1H:479493867,significant,6.9044,-151976,betaglucan_1H_1,17,SIGNIFICANT_FDR_only,"",2,0.8,174,3,14|28|132,0.00043121777751164,0.00344974222009312,0.0089693297722421,0.179386595444842,TRUE,FALSE,8,10,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.1HG0077700/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.1HG0077700__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.1HG0077700/MGmin_2/Heatmaps__HORVU.MOREX.r3.1HG0077700__MGmin2__Eps0p8.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.1HG0077700,HORVU.MOREX.r3.1HG0077700.vcf.gz
betaglucan,HORVU.MOREX.r3.7HG0675580,7H,144703832,144705436,+,7H:144534576,marginal,6.769,169256,betaglucan_7H_1,15,SIGNIFICANT_FDR_only,"",2,0.4,223,3,36|81|106,0.000839691918804409,0.00335876767521763,0.0089693297722421,0.174655919111317,TRUE,FALSE,4,11,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.7HG0675580/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.7HG0675580__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.7HG0675580/MGmin_2/Heatmaps__HORVU.MOREX.r3.7HG0675580__MGmin2__Eps0p4.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.7HG0675580,HORVU.MOREX.r3.7HG0675580.vcf.gz
betaglucan,HORVU.MOREX.r3.2HG0112840,2H,42035580,42036551,-,2H:41996626,significant,8.906,38954,betaglucan_2H_1,12,SIGNIFICANT_FDR_only,"",2,0.6,149,2,62|87,0.000939188852068436,0.00375675540827374,0.00930244196334451,0.195351281230235,TRUE,FALSE,4,13,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0112840/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0112840__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0112840/MGmin_2/Heatmaps__HORVU.MOREX.r3.2HG0112840__MGmin2__Eps0p6.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0112840,HORVU.MOREX.r3.2HG0112840.vcf.gz
betaglucan,HORVU.MOREX.r3.2HG0191520,2H,602320039,602321575,+,2H:602246902,significant,7.0568,73137,betaglucan_2H_2,11,SIGNIFICANT_FDR_only,"",3,0.5,229,2,79|150,0.000986563847415379,0.00394625538966151,0.00932751273919994,0.205205280262399,TRUE,FALSE,4,10,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0191520/MGmin_3/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0191520__MGmin3__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0191520/MGmin_3/Heatmaps__HORVU.MOREX.r3.2HG0191520__MGmin3__Eps0p5.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0191520,HORVU.MOREX.r3.2HG0191520.vcf.gz
