trait,gene_file,gene_name,title,lead_SNP,class,lead_pos,lead_neg_log10p,dist_to_lead_bp,locus_id,description,n_snps_window,n_total_valid_tests_before_collapse,n_unique_valid_tests,best_MGmin,best_epsilon,best_n_ind,best_n_groups,best_group_sizes,best_kw_p_raw,best_kw_p_holm_within_gene,trait_fdr_p,trait_bonferroni_p,significant_fdr,significant_bonferroni
betaglucan,HORVU.MOREX.r3.6HG0627090.vcf.gz,HORVU.MOREX.r3.6HG0627090,HORVU.MOREX.r3.6HG0627090 | betaglucan | lead 6H:545947347 (marginal),6H:545947347,marginal,545947347,6.654,-51913,betaglucan_6H_2,,12,12,4,2,0.05,238,2,14|224,0.000369192792888267,0.00147677117155307,0.00577474180559028,0.0767921009207595,TRUE,FALSE
betaglucan,HORVU.MOREX.r3.2HG0191510.vcf.gz,HORVU.MOREX.r3.2HG0191510,HORVU.MOREX.r3.2HG0191510 | betaglucan | lead 2H:602246902 (significant),2H:602246902,significant,602246902,7.0568,-70852,betaglucan_2H_2,,43,13,11,3,0.2,227,4,23|34|45|125,0.000141339834402559,0.00155473817842815,0.00577474180559028,0.0808463852782639,TRUE,FALSE
betaglucan,HORVU.MOREX.r3.2HG0112910.vcf.gz,HORVU.MOREX.r3.2HG0112910,HORVU.MOREX.r3.2HG0112910 | betaglucan | lead 2H:41996626 (significant),2H:41996626,significant,41996626,8.906,195643,betaglucan_2H_1,,6,3,2,2,0.8,206,4,12|22|64|108,0.00110928185795767,0.00221856371591534,0.00750459235417674,0.115365313227598,TRUE,FALSE
betaglucan,HORVU.MOREX.r3.6HG0627060.vcf.gz,HORVU.MOREX.r3.6HG0627060,HORVU.MOREX.r3.6HG0627060 | betaglucan | lead 6H:545947347 (marginal),6H:545947347,marginal,545947347,6.654,-63442,betaglucan_6H_2,,12,8,5,3,0.6,230,2,26|204,0.000461821067949338,0.00230910533974669,0.00750459235417674,0.120073477666828,TRUE,FALSE
betaglucan,HORVU.MOREX.r3.3HG0299450.vcf.gz,HORVU.MOREX.r3.3HG0299450,HORVU.MOREX.r3.3HG0299450 | betaglucan | lead 3H:537247620 (significant),3H:537247620,significant,537247620,7.9751,-131468,betaglucan_3H_1,,14,9,6,2,0.4,196,3,11|48|137,0.000454651880236726,0.00272791128142036,0.00831173561074023,0.141851386633859,TRUE,FALSE
betaglucan,HORVU.MOREX.r3.2HG0112890.vcf.gz,HORVU.MOREX.r3.2HG0112890,HORVU.MOREX.r3.2HG0112890 | betaglucan | lead 2H:41996626 (significant),2H:41996626,significant,41996626,8.906,176994,betaglucan_2H_1,,5,2,1,2,0.8,250,2,58|192,0.00287713924987162,0.00287713924987162,0.00831173561074023,0.149611240993324,TRUE,FALSE
betaglucan,HORVU.MOREX.r3.7HG0675580.vcf.gz,HORVU.MOREX.r3.7HG0675580,HORVU.MOREX.r3.7HG0675580 | betaglucan | lead 7H:144534576 (marginal),7H:144534576,marginal,144534576,6.769,169256,betaglucan_7H_1,,15,11,4,2,0.4,223,3,36|81|106,0.000839691918804409,0.00335876767521763,0.0089693297722421,0.174655919111317,TRUE,FALSE
betaglucan,HORVU.MOREX.r3.1HG0077700.vcf.gz,HORVU.MOREX.r3.1HG0077700,HORVU.MOREX.r3.1HG0077700 | betaglucan | lead 1H:479493867 (significant),1H:479493867,significant,479493867,6.9044,-151976,betaglucan_1H_1,,17,10,8,2,0.8,174,3,14|28|132,0.00043121777751164,0.00344974222009312,0.0089693297722421,0.179386595444842,TRUE,FALSE
betaglucan,HORVU.MOREX.r3.2HG0112840.vcf.gz,HORVU.MOREX.r3.2HG0112840,HORVU.MOREX.r3.2HG0112840 | betaglucan | lead 2H:41996626 (significant),2H:41996626,significant,41996626,8.906,38954,betaglucan_2H_1,,12,13,4,2,0.6,149,2,62|87,0.000939188852068436,0.00375675540827374,0.00930244196334451,0.195351281230235,TRUE,FALSE
betaglucan,HORVU.MOREX.r3.2HG0191520.vcf.gz,HORVU.MOREX.r3.2HG0191520,HORVU.MOREX.r3.2HG0191520 | betaglucan | lead 2H:602246902 (significant),2H:602246902,significant,602246902,7.0568,73137,betaglucan_2H_2,,11,10,4,3,0.5,229,2,79|150,0.000986563847415379,0.00394625538966151,0.00932751273919994,0.205205280262399,TRUE,FALSE
betaglucan,HORVU.MOREX.r3.1HG0077720.vcf.gz,HORVU.MOREX.r3.1HG0077720,HORVU.MOREX.r3.1HG0077720 | betaglucan | lead 1H:479493867 (significant),1H:479493867,significant,479493867,6.9044,-32686,betaglucan_1H_1,,28,13,9,2,0.05,186,3,45|56|85,0.000547643376599935,0.00492879038939942,0.0110349466905844,0.25629710024877,TRUE,FALSE
betaglucan,HORVU.MOREX.r3.2HG0191430.vcf.gz,HORVU.MOREX.r3.2HG0191430,HORVU.MOREX.r3.2HG0191430 | betaglucan | lead 2H:602246902 (significant),2H:602246902,significant,602246902,7.0568,-184737,betaglucan_2H_2,,5,8,2,3,0.8,243,2,30|213,0.00256463350144552,0.00512926700289105,0.0110349466905844,0.266721884150335,TRUE,FALSE
betaglucan,HORVU.MOREX.r3.2HG0112820.vcf.gz,HORVU.MOREX.r3.2HG0112820,HORVU.MOREX.r3.2HG0112820 | betaglucan | lead 2H:41996626 (significant),2H:41996626,significant,41996626,8.906,31665,betaglucan_2H_1,,35,14,12,3,0.05,241,2,79|162,0.000442105236000979,0.00530526283201175,0.0110349466905844,0.275873667264611,TRUE,FALSE
betaglucan,HORVU.MOREX.r3.6HG0627120.vcf.gz,HORVU.MOREX.r3.6HG0627120,HORVU.MOREX.r3.6HG0627120 | betaglucan | lead 6H:545947347 (marginal),6H:545947347,marginal,545947347,6.654,-39269,betaglucan_6H_2,Protein kinase superfamily protein [Source:Projected from Arabidopsis thaliana (AT2G39190) UniProtKB/TrEMBL;Acc:O80962],40,12,11,2,0.8,108,5,10|13|26|29|30,0.000711046586108596,0.00782151244719456,0.0156430248943891,0.406718647254117,TRUE,FALSE
betaglucan,HORVU.MOREX.r3.2HG0191540.vcf.gz,HORVU.MOREX.r3.2HG0191540,HORVU.MOREX.r3.2HG0191540 | betaglucan | lead 2H:602246902 (significant),2H:602246902,significant,602246902,7.0568,106325,betaglucan_2H_2,,24,11,7,2,0.4,147,3,11|40|96,0.00152734734711774,0.0106914314298242,0.0205909049759576,0.555954434350856,TRUE,FALSE
betaglucan,HORVU.MOREX.r3.3HG0299440.vcf.gz,HORVU.MOREX.r3.3HG0299440,HORVU.MOREX.r3.3HG0299440 | betaglucan | lead 3H:537247620 (significant),3H:537247620,significant,537247620,7.9751,-146381,betaglucan_3H_1,,16,7,2,2,0.5,242,2,26|216,0.00781620723893504,0.0156324144778701,0.029031626887473,0.812885552849244,TRUE,FALSE
betaglucan,HORVU.MOREX.r3.4HG0395770.vcf.gz,HORVU.MOREX.r3.4HG0395770,HORVU.MOREX.r3.4HG0395770 | betaglucan | lead 4H:528254769 (significant),4H:528254769,significant,528254769,6.8965,129651,betaglucan_4H_2,,6,3,1,2,0.6,242,2,45|197,0.0195217422075336,0.0195217422075336,0.0350045032686809,1,TRUE,FALSE
betaglucan,HORVU.MOREX.r3.1HG0079220.vcf.gz,HORVU.MOREX.r3.1HG0079220,HORVU.MOREX.r3.1HG0079220 | betaglucan | lead 1H:483379118 (significant),1H:483379118,significant,483379118,6.886,-3869,betaglucan_1H_2,,6,4,2,2,0.6,241,2,15|226,0.013200099045613,0.0264001980912259,0.0457603433581249,1,TRUE,FALSE
betaglucan,HORVU.MOREX.r3.4HG0395820.vcf.gz,HORVU.MOREX.r3.4HG0395820,HORVU.MOREX.r3.4HG0395820 | betaglucan | lead 4H:528254769 (significant),4H:528254769,significant,528254769,6.8965,163834,betaglucan_4H_2,,7,5,2,2,0.6,219,3,31|87|101,0.0167010752703336,0.0334021505406672,0.0560294138101514,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.7HG0675560.vcf.gz,HORVU.MOREX.r3.7HG0675560,HORVU.MOREX.r3.7HG0675560 | betaglucan | lead 7H:144534576 (marginal),7H:144534576,marginal,144534576,6.769,29621,betaglucan_7H_1,,38,12,7,2,0.8,58,4,13|14|14|17,0.00499017228768968,0.0349312060138277,0.0567632097724701,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.1HG0077770.vcf.gz,HORVU.MOREX.r3.1HG0077770,HORVU.MOREX.r3.1HG0077770 | betaglucan | lead 1H:479493867 (significant),1H:479493867,significant,479493867,6.9044,-622,betaglucan_1H_1,,26,11,8,2,0.2,193,2,57|136,0.00468989919515246,0.0375191935612197,0.0591211534904068,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.4HG0341560.vcf.gz,HORVU.MOREX.r3.4HG0341560,HORVU.MOREX.r3.4HG0341560 | betaglucan | lead 4H:34858354 (significant),4H:34858354,significant,34858354,7.9777,116606,betaglucan_4H_1,,13,7,4,2,0.8,182,3,12|37|133,0.0113353872630395,0.0453415490521578,0.069345898550359,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.1HG0079180.vcf.gz,HORVU.MOREX.r3.1HG0079180,HORVU.MOREX.r3.1HG0079180 | betaglucan | lead 1H:483379118 (significant),1H:483379118,significant,483379118,6.886,-168527,betaglucan_1H_2,,61,6,6,3,0.85,169,4,11|16|25|117,0.0104285827300691,0.0625714963804144,0.0929633660509014,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.2HG0191480.vcf.gz,HORVU.MOREX.r3.2HG0191480,HORVU.MOREX.r3.2HG0191480 | betaglucan | lead 2H:602246902 (significant),2H:602246902,significant,602246902,7.0568,-128658,betaglucan_2H_2,,14,2,1,2,0.8,250,2,41|209,0.0766679309247034,0.0766679309247034,0.110742566891238,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.1HG0077790.vcf.gz,HORVU.MOREX.r3.1HG0077790,HORVU.MOREX.r3.1HG0077790 | betaglucan | lead 1H:479493867 (significant),1H:479493867,significant,479493867,6.9044,8051,betaglucan_1H_1,,32,12,7,2,0.6,147,5,14|16|37|40|40,0.0118352793798708,0.0828469556590953,0.116433559304674,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.6HG0627040.vcf.gz,HORVU.MOREX.r3.6HG0627040,HORVU.MOREX.r3.6HG0627040 | betaglucan | lead 6H:545947347 (marginal),6H:545947347,marginal,545947347,6.654,-68939,betaglucan_6H_2,,30,12,9,2,0.85,122,4,11|11|49|51,0.0173534765220892,0.156181288698803,0.213721763482572,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.6HG0627080.vcf.gz,HORVU.MOREX.r3.6HG0627080,HORVU.MOREX.r3.6HG0627080 | betaglucan | lead 6H:545947347 (marginal),6H:545947347,marginal,545947347,6.654,-55958,betaglucan_6H_2,,26,12,10,2,0.85,166,4,27|35|40|64,0.0186320259753422,0.186320259753422,0.248427013004562,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.6HG0627020.vcf.gz,HORVU.MOREX.r3.6HG0627020,HORVU.MOREX.r3.6HG0627020 | betaglucan | lead 6H:545947347 (marginal),6H:545947347,marginal,545947347,6.654,-74533,betaglucan_6H_2,,20,12,6,2,0.8,129,7,10|10|10|14|20|30|35,0.0503151459244407,0.301890875546644,0.392458138210637,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.1HG0079210.vcf.gz,HORVU.MOREX.r3.1HG0079210,HORVU.MOREX.r3.1HG0079210 | betaglucan | lead 1H:483379118 (significant),1H:483379118,significant,483379118,6.886,-9274,betaglucan_1H_2,,11,6,2,2,0.8,220,4,19|19|19|163,0.154764065875979,0.309528131751959,0.392572264661021,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.1HG0077710.vcf.gz,HORVU.MOREX.r3.1HG0077710,HORVU.MOREX.r3.1HG0077710 | betaglucan | lead 1H:479493867 (significant),1H:479493867,significant,479493867,6.9044,-76756,betaglucan_1H_1,,30,10,8,3,0.6,222,4,12|31|75|104,0.0423698669788462,0.338958935830769,0.419663444361905,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,HORVU.MOREX.r3.1HG0077680,HORVU.MOREX.r3.1HG0077680 | betaglucan | lead 1H:479493867 (significant),1H:479493867,significant,479493867,6.9044,-156934,betaglucan_1H_1,,5,5,1,2,0.4,232,2,70|162,0.396929823863477,0.396929823863477,0.480008159090716,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.4HG0341630.vcf.gz,HORVU.MOREX.r3.4HG0341630,HORVU.MOREX.r3.4HG0341630 | betaglucan | lead 4H:34858354 (significant),4H:34858354,significant,34858354,7.9777,223623,betaglucan_4H_1,,199,7,7,3,0.6,25,2,12|13,0.0644063960374258,0.450844772261981,0.532816549036886,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.1HG0077830.vcf.gz,HORVU.MOREX.r3.1HG0077830,HORVU.MOREX.r3.1HG0077830 | betaglucan | lead 1H:479493867 (significant),1H:479493867,significant,479493867,6.9044,83088,betaglucan_1H_1,,10,6,2,2,0.8,195,3,18|75|102,0.316818768490823,0.633637536981647,0.73220337606768,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.2HG0191450.vcf.gz,HORVU.MOREX.r3.2HG0191450,HORVU.MOREX.r3.2HG0191450 | betaglucan | lead 2H:602246902 (significant),2H:602246902,significant,602246902,7.0568,-176619,betaglucan_2H_2,,6,5,1,2,0.4,237,2,18|219,0.699311992188659,0.699311992188659,0.790526599865441,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.2HG0191490.vcf.gz,HORVU.MOREX.r3.2HG0191490,HORVU.MOREX.r3.2HG0191490 | betaglucan | lead 2H:602246902 (significant),2H:602246902,significant,602246902,7.0568,-121189,betaglucan_2H_2,,18,13,3,2,0.2,189,4,13|16|56|104,0.239761250074875,0.719283750224624,0.795803298120861,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.4HG0341640.vcf.gz,HORVU.MOREX.r3.4HG0341640,HORVU.MOREX.r3.4HG0341640 | betaglucan | lead 4H:34858354 (significant),4H:34858354,significant,34858354,7.9777,233463,betaglucan_4H_1,HINT3 [Source:Projected from Arabidopsis thaliana (AT5G48545) UniProtKB/TrEMBL;Acc:A0A178UAY8],41,14,12,3,0.05,234,2,98|136,0.139194387315244,1,1,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.6HG0609520.vcf.gz,HORVU.MOREX.r3.6HG0609520,HORVU.MOREX.r3.6HG0609520 | betaglucan | lead 6H:475144663 (significant),6H:475144663,significant,475144663,7.1682,137905,betaglucan_6H_1,,23,11,6,3,0.5,248,3,21|27|200,0.219688646600807,1,1,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.6HG0627110.vcf.gz,HORVU.MOREX.r3.6HG0627110,HORVU.MOREX.r3.6HG0627110 | betaglucan | lead 6H:545947347 (marginal),6H:545947347,marginal,545947347,6.654,-45316,betaglucan_6H_2,,15,11,5,2,0.85,153,4,12|19|51|71,0.538680138172169,1,1,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.7HG0675570.vcf.gz,HORVU.MOREX.r3.7HG0675570,HORVU.MOREX.r3.7HG0675570 | betaglucan | lead 7H:144534576 (marginal),7H:144534576,marginal,144534576,6.769,168134,betaglucan_7H_1,,10,8,4,2,0.4,195,3,38|46|111,0.639209710559657,1,1,1,FALSE,FALSE
betaglucan,HORVU.MOREX.r3.2HG0112830.vcf.gz,HORVU.MOREX.r3.2HG0112830,HORVU.MOREX.r3.2HG0112830 | betaglucan | lead 2H:41996626 (significant),2H:41996626,significant,41996626,8.906,37976,betaglucan_2H_1,,19,13,3,3,0.2,232,2,15|217,0.875149420288746,1,1,1,FALSE,FALSE
fiber,HORVU.MOREX.r3.7HG0729020.vcf.gz,HORVU.MOREX.r3.7HG0729020,HORVU.MOREX.r3.7HG0729020 | fiber | lead 7H:573606306 (significant),7H:573606306,significant,573606306,7.1456,-156430,fiber_7H_2,"High-affinity nitrate transporter, Nitrate transport, Auxin signalin [Source: Projected from Oryza sativa (Os01g0547600)]",27,12,7,2,0.8,219,4,17|42|49|111,1.00042912972895e-09,7.00300390810268e-09,9.10390508053348e-08,9.10390508053348e-08,TRUE,TRUE
fiber,HORVU.MOREX.r3.7HG0642460.vcf.gz,HORVU.MOREX.r3.7HG0642460,HORVU.MOREX.r3.7HG0642460 | fiber | lead 7H:14817657 (marginal),7H:14817657,marginal,14817657,6.731,105187,fiber_7H_1,,6,5,2,2,0.8,194,3,16|53|125,2.15106450803342e-08,4.30212901606684e-08,2.79638386044345e-07,5.5927677208869e-07,TRUE,TRUE
fiber,HORVU.MOREX.r3.4HG0339140.vcf.gz,HORVU.MOREX.r3.4HG0339140,HORVU.MOREX.r3.4HG0339140 | fiber | lead 4H:24707376 (significant),4H:24707376,significant,24707376,6.9727,84313,fiber_4H_1,,24,11,10,2,0.2,237,2,15|222,1.75656769181651e-08,1.75656769181651e-07,7.61179333120489e-07,2.28353799936147e-06,TRUE,TRUE
fiber,HORVU.MOREX.r3.7HG0729090.vcf.gz,HORVU.MOREX.r3.7HG0729090,HORVU.MOREX.r3.7HG0729090 | fiber | lead 7H:573606306 (significant),7H:573606306,significant,573606306,7.1456,185248,fiber_7H_2,,13,1,1,2,0.85,236,2,116|120,1.07865974419685e-06,1.07865974419685e-06,3.50564416863976e-06,1.4022576674559e-05,TRUE,TRUE
fiber,HORVU.MOREX.r3.7HG0642360.vcf.gz,HORVU.MOREX.r3.7HG0642360,HORVU.MOREX.r3.7HG0642360 | fiber | lead 7H:14817657 (marginal),7H:14817657,marginal,14817657,6.731,-2239,fiber_7H_1,,10,5,3,2,0.4,230,2,85|145,8.74388801471589e-07,2.62316640441477e-06,6.8202326514784e-06,3.4101163257392e-05,TRUE,TRUE
fiber,HORVU.MOREX.r3.7HG0729100.vcf.gz,HORVU.MOREX.r3.7HG0729100,HORVU.MOREX.r3.7HG0729100 | fiber | lead 7H:573606306 (significant),7H:573606306,significant,573606306,7.1456,187128,fiber_7H_2,,19,1,1,2,0.85,206,4,10|15|88|93,0.000112418505806616,0.000112418505806616,0.000220310974257103,0.00146144057548601,TRUE,TRUE
fiber,HORVU.MOREX.r3.1HG0051670.vcf.gz,HORVU.MOREX.r3.1HG0051670,HORVU.MOREX.r3.1HG0051670 | fiber | lead 1H:344520079 (marginal),1H:344520079,marginal,344520079,6.548,-134179,fiber_1H_1,,16,8,4,3,0.85,207,4,11|14|17|165,2.965724653461e-05,0.00011862898613844,0.000220310974257103,0.00154217681979972,TRUE,TRUE
fiber,HORVU.MOREX.r3.7HG0642350.vcf.gz,HORVU.MOREX.r3.7HG0642350,HORVU.MOREX.r3.7HG0642350 | fiber | lead 7H:14817657 (marginal),7H:14817657,marginal,14817657,6.731,-35512,fiber_7H_1,,14,10,2,2,0.2,186,5,25|28|34|43|56,0.00401178992583345,0.00802357985166691,0.0130383172589587,0.10430653807167,TRUE,FALSE
fiber,HORVU.MOREX.r3.7HG0729130.vcf.gz,HORVU.MOREX.r3.7HG0729130,HORVU.MOREX.r3.7HG0729130 | fiber | lead 7H:573606306 (significant),7H:573606306,significant,573606306,7.1456,199226,fiber_7H_2,,5,3,2,2,0.8,227,2,38|189,0.0150591042535097,0.0301182085070193,0.0435040789545835,0.391536710591251,TRUE,FALSE
fiber,HORVU.MOREX.r3.7HG0729030.vcf.gz,HORVU.MOREX.r3.7HG0729030,HORVU.MOREX.r3.7HG0729030 | fiber | lead 7H:573606306 (significant),7H:573606306,significant,573606306,7.1456,-578,fiber_7H_2,,27,11,5,3,0.4,239,2,36|203,0.0139423396424843,0.0697116982124216,0.090625207676148,0.90625207676148,FALSE,FALSE
fiber,HORVU.MOREX.r3.7HG0642480.vcf.gz,HORVU.MOREX.r3.7HG0642480,HORVU.MOREX.r3.7HG0642480 | fiber | lead 7H:14817657 (marginal),7H:14817657,marginal,14817657,6.731,187280,fiber_7H_1,,30,2,1,3,0.8,213,3,11|60|142,0.157860337248607,0.157860337248607,0.186562216748354,1,FALSE,FALSE
fiber,HORVU.MOREX.r3.7HG0729110.vcf.gz,HORVU.MOREX.r3.7HG0729110,HORVU.MOREX.r3.7HG0729110 | fiber | lead 7H:573606306 (significant),7H:573606306,significant,573606306,7.1456,191194,fiber_7H_2,,12,8,4,2,0.4,190,3,19|74|97,0.111400427822901,0.445601711291604,0.482735187232571,1,FALSE,FALSE
fiber,HORVU.MOREX.r3.7HG0729050.vcf.gz,HORVU.MOREX.r3.7HG0729050,HORVU.MOREX.r3.7HG0729050 | fiber | lead 7H:573606306 (significant),7H:573606306,significant,573606306,7.1456,120281,fiber_7H_2,,19,13,8,2,0.05,240,2,41|199,0.194224008696642,1,1,1,FALSE,FALSE
starch,HORVU.MOREX.r3.7HG0729090.vcf.gz,HORVU.MOREX.r3.7HG0729090,HORVU.MOREX.r3.7HG0729090 | starch | lead 7H:573606460 (marginal),7H:573606460,marginal,573606460,6.195,185094,starch_7H_2,,13,1,1,2,0.85,236,2,116|120,1.82030883711791e-10,1.82030883711791e-10,2.0023397208297e-09,2.0023397208297e-09,TRUE,TRUE
starch,HORVU.MOREX.r3.6HG0619820.vcf.gz,HORVU.MOREX.r3.6HG0619820,HORVU.MOREX.r3.6HG0619820 | starch | lead 6H:525776080 (marginal),6H:525776080,marginal,525776080,6.444,-148218,starch_6H_1,,24,11,7,3,0.4,258,2,71|187,7.0967065274342e-11,4.96769456920394e-10,2.73223201306217e-09,5.46446402612434e-09,TRUE,TRUE
starch,HORVU.MOREX.r3.3HG0301710.vcf.gz,HORVU.MOREX.r3.3HG0301710,HORVU.MOREX.r3.3HG0301710 | starch | lead 3H:546433616 (marginal),3H:546433616,marginal,546433616,6.282,40093,starch_3H_1,Phosphate transporter 43 [Source:Projected from Arabidopsis thaliana (AT3G46980) UniProtKB/TrEMBL;Acc:A0A1I9LP04],16,7,5,2,0.85,205,4,21|25|31|128,1.71828152728313e-10,8.59140763641565e-10,3.15018280001907e-09,9.45054840005722e-09,TRUE,TRUE
starch,HORVU.MOREX.r3.3HG0301720.vcf.gz,HORVU.MOREX.r3.3HG0301720,HORVU.MOREX.r3.3HG0301720 | starch | lead 3H:546433616 (marginal),3H:546433616,marginal,546433616,6.282,45548,starch_3H_1,,26,13,10,2,0.2,200,4,14|17|37|132,2.05297676122605e-10,2.05297676122605e-09,5.64568609337165e-09,2.25827443734866e-08,TRUE,TRUE
