short_Tag,season,GI,BI,site,Block_no,Tiller.Length,Number.Of.Tillers,Spike.Length,Awn.Length,Flag.Length,Brittle.spike_lenhth,Plant.Biomass,No.Of.Spikelets,Z5_GDD,Z10_GDD,Z11_GDD,B.yellow_GDD,Bstart_GDD,britlemiddleGDD,ExpEndGdd,cm_1000gdd,sowing_to_z5,sowing_to_z10,flowering_time,flowering_to_yellowSpike,yellow_to_brittleStart,brittle_start_to_brittle_middle,Brittle_start_to_brittle_end,Grain_weight,number_of_grains,number_of_spikes,Grain_per_spike,spike_density,ProteinAsis.,StarchAsis.,BetaglucansAsis.,FiberAsis.,Location,Number,Feature,Polygon,Poligon_nu,longitude,latitude,x,y,March,Precipitation,December,Elevation,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_08,bio_09,bio_10,bio_11,bio_12,bio_13,bio_15,bio_16,bio_19,CECSOL_1km,CLYPPT_1km,CRFVOL_1km,PHIHOX_1km,PHIKCL_1km,SLTPPT_1km,SNDPPT_1km,pH,EC,Field_capacity,Organic_by_weight
HS0103,2019,307,7,1,2,63.5,11,10.5,23.5,7.6,2.6,21.5,NA,617.1,1450.2,1642.9,2138.3,2213.75,2232.05,2724.05,NA,48,109,122,26,4,1,22,0.34,49,3,16.33333333,NA,13.32,43.2,5.89,4.82,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0118,2019,333,33,1,2,80.5,6,9.5,21.5,3.8,4.2,55.5,NA,570.9,1450.2,1555.65,1982.9,2047.05,2071.1,3059.15,NA,44,109,117,24,3,1,44,0.37,50,3,16.66666667,NA,15.53,48.1,4.66,3.43,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0105,2019,387,87,1,2,31.5,4,9.1,22.5,3,3.9,5.5,NA,617.1,1374.55,1450.2,1942.85,1982.9,2117.65,3059.15,NA,48,105,109,30,2,6,47,0.37,28,3,9.333333333,NA,14.66,46.9,5.65,3.83,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0108,2019,423,123,1,2,78.5,10,12,19.2,10.6,3.1,27,NA,570.9,1450.2,1542.25,1982.9,2047.05,2213.75,3059.15,NA,44,109,116,25,3,8,44,1.32,48,3,16,NA,15.32,49.9,4.77,3.43,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0113,2019,449,149,1,2,76.5,5,10.5,23.6,6.4,3.9,24,NA,617.1,1374.55,1467.25,1982.9,2047.05,2138.3,3059.15,NA,48,105,110,31,3,4,44,1.7,44,3,14.66666667,NA,18.79,52,6.44,3.37,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0110,2019,462,162,1,2,48.5,4,10.2,19.8,3.5,0,15,NA,646.55,1450.2,1587.5,2138.3,2213.75,2328.75,2899.2,NA,50,109,119,29,4,6,29,0.95,29,3,9.666666667,NA,18.32,29.9,6.31,3.94,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0107,2019,475,175,1,2,79,5,14.3,24,5,4,64.5,NA,591.8,1450.2,1642.9,2117.65,2071.1,2328.75,3059.15,NA,46,109,122,25,NA,13,43,1.35,52,3,17.33333333,NA,18.73,45.8,5.54,3.57,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0112,2019,486,186,1,2,87,8,13.4,24.7,11.1,3,94,NA,570.9,1450.2,1507.4,2117.65,2117.65,2213.75,3059.15,NA,44,109,113,34,NA,5,41,2.49,57,3,19,NA,19.83,50.7,6.56,3.64,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0111,2019,502,202,1,2,63,3,10.5,20.6,5.5,3,7.5,NA,617.1,1416.05,1507.4,2071.1,2117.65,2213.75,3059.15,NA,48,107,113,32,2,5,41,1.22,27,2,13.5,NA,16.66,44.5,6.38,4.47,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0106,2019,536,236,1,2,97,13,13.8,21.5,14.1,4,133.5,NA,617.1,1450.2,1604.05,2071.1,2117.65,2213.75,3059.15,NA,48,109,120,25,2,5,41,1.41,52,3,17.33333333,NA,17.65,44,4.96,4.35,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0108,2019,606,6,1,3,67,16,11.6,17.7,7.1,4,40.5,NA,541.15,1450.2,1542.25,2047.05,2071.1,2232.05,3059.15,NA,41,109,116,28,1,8,43,1.71,48,3,16,NA,14.79,32.6,6.11,5.66,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0107,2019,667,67,1,3,73,8,11,21,4,3.5,48,NA,541.15,1450.2,1587.5,2047.05,2213.75,2270.95,3059.15,NA,41,109,119,25,8,3,36,1.73,49,3,16.33333333,NA,17.98,29.8,6.51,5.88,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0111,2019,669,69,1,3,82,11,12.5,23,7.2,2.8,29,NA,541.15,1355.45,1450.2,1923.8,2047.05,2138.3,3059.15,NA,41,104,109,29,6,4,44,2.64,55,3,18.33333333,NA,17.72,39.9,7.13,4.86,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0118,2019,675,75,1,3,68,5,12.5,21.7,5.6,4.7,14.5,NA,605.5,1355.45,1507.4,1942.85,2047.05,2138.3,3059.15,NA,47,104,113,26,5,4,44,1.71,52,3,17.33333333,NA,14.92,38.7,4.3,5.26,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0113,2019,699,99,1,3,74,7,10.5,21.9,5.9,4,16,NA,541.15,1355.45,1507.4,2047.05,2093.85,2232.05,3059.15,NA,41,104,113,31,2,7,42,1.73,41,3,13.66666667,NA,16.58,37.3,5.85,5.16,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0112,2019,747,147,1,3,73,10,11.5,23,9,4.3,43,NA,541.15,1450.2,1604.05,2195.7,2213.75,2270.95,3059.15,NA,41,109,120,31,1,3,36,2.13,54,3,18,NA,19.15,42.9,6.84,5.25,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0105,2019,790,190,1,3,68,11,11.5,21.4,4.3,1.9,31,NA,541.15,1416.05,1542.25,1982.9,2071.1,2232.05,2403.35,NA,41,107,116,25,4,8,17,1.8,NA,3,NA,NA,13.48,48.4,6,4.39,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0103,2019,814,214,1,3,73,6,12.2,22.3,6,3.6,19.5,NA,541.15,1450.2,1604.05,2047.05,2138.3,2328.75,3059.15,NA,41,109,120,24,4,10,40,2.23,NA,3,NA,NA,13.47,45.8,7.3,4.28,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0110,2019,861,261,1,3,74,9,12,20.1,6.1,6,18,NA,541.15,1336.4,1450.2,2047.05,2047.05,2213.75,3059.15,NA,41,103,109,35,NA,8,44,1.24,35,3,11.66666667,NA,14.73,35.2,5.89,4.62,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0106,2019,868,268,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3059.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0110,2019,926,26,1,4,80,21,12.6,23.6,7,5,113.6,NA,617.1,1450.2,1555.65,2117.65,2213.75,2270.95,3059.15,NA,48,109,117,30,5,3,36,1.78,49,3,16.33333333,NA,18.15,26.2,3.63,4.16,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0106,2019,956,56,1,4,78,10,11.5,18.1,6,3.3,52.1,NA,617.1,1450.2,1542.25,1982.9,2047.05,2093.85,2466.95,NA,48,109,116,25,3,2,21,1.46,NA,3,NA,NA,15.11,46.9,5.51,4.15,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0112,2019,963,63,1,4,80.5,11,12.5,23.8,10.5,4.5,49.6,NA,541.15,1450.2,1542.25,2117.65,2138.3,2213.75,3059.15,NA,41,109,116,31,1,4,40,2.05,NA,3,NA,NA,16.44,28,4.23,5.52,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0105,2019,975,75,1,4,71,12,12.5,21.5,2.8,2.8,43.6,NA,541.15,1355.45,1450.2,1942.85,2047.05,2117.65,3059.15,NA,41,104,109,30,5,3,44,1.84,52,3,17.33333333,NA,14.95,55.2,5.77,3.97,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0107,2019,982,82,1,4,69.5,7,10,21,3.4,5,42.2,NA,541.15,1467.25,1587.5,2117.65,2117.65,2138.3,3059.15,NA,41,110,119,28,NA,1,41,2.18,NA,3,NA,NA,17.29,29.1,3.85,5.44,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0111,2019,989,89,1,4,81.5,8,11,22.6,8.5,2.5,61.4,NA,617.1,1450.2,1542.25,2117.65,2117.65,2232.05,3059.15,NA,48,109,116,31,NA,6,41,2.7,NA,3,NA,NA,16.74,30.6,5.69,6.31,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0118,2019,1091,191,1,4,73,5,10.5,23.3,5.9,0,23,NA,646.55,1571.45,1678.7,2138.3,2213.75,2270.95,2899.2,NA,50,118,124,24,4,3,29,1.19,NA,3,NA,NA,15.51,24.8,2.63,5.99,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0103,2019,1142,242,1,4,89.5,27,10.6,24.5,11,4.5,112,NA,617.1,1604.05,1698.05,2213.75,2328.75,2383.7,3059.15,NA,48,120,125,27,6,3,30,2.05,NA,3,NA,NA,15.43,30.6,3.88,5.05,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0113,2019,1148,248,1,4,82,16,11.8,24,14.6,4,54.5,NA,617.1,1416.05,1493.8,2071.1,2117.65,2213.75,3059.15,NA,48,107,112,33,2,5,41,2.55,NA,3,NA,NA,17.42,35.7,3.94,4.91,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0108,2019,1198,298,1,4,79,10,8.5,18.3,9,0,56,NA,646.55,1624.35,1698.05,2213.75,2270.95,2328.75,2899.2,NA,50,121,125,27,3,3,26,1.11,NA,3,NA,NA,15.25,30.8,2.85,4.76,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0201,2019,11,11,2,1,84.5,10,12.2,22,6.3,5.2,58.6,NA,541.15,1336.4,1450.2,1923.8,1923.8,2071.1,3059.15,NA,41,103,109,29,NA,7,50,1.38,61,3,20.33333333,NA,14.15,42.8,4.62,4.19,Beit_Zeida,2,Hot,North,1,35.64005,32.90438,260203,756687,22.98,456,10.07,-184,20.70624924,10.80416965,42.07240295,560.8225098,32.89000702,7.20999336,25.68001366,13.82332897,27.1483345,27.28666496,13.82332897,386.5003357,97.90006256,108.5603104,251.7001953,251.7001953,31,34,7,73,66,40,27,7.65,438,7.565,8.185
HS0202,2019,12,12,2,1,82,10,12.3,21.2,7.4,3,28.2,NA,541.15,1336.4,1450.2,1923.8,1942.85,2047.05,3059.15,NA,41,103,109,29,1,5,49,1.5,59,3,19.66666667,NA,13.5,44.3,4.78,4.32,Beit_Zeida,2,Hot,North,1,35.64005,32.90438,260203,756687,22.98,456,10.07,-184,20.70624924,10.80416965,42.07240295,560.8225098,32.89000702,7.20999336,25.68001366,13.82332897,27.1483345,27.28666496,13.82332897,386.5003357,97.90006256,108.5603104,251.7001953,251.7001953,31,34,7,73,66,40,27,7.65,438,7.565,8.185
HS0203,2019,13,13,2,1,83.5,11,12.5,21,4.9,4,32.9,NA,541.15,1336.4,1450.2,1923.8,2047.05,2093.85,3059.15,NA,41,103,109,29,6,2,44,1.47,62,3,20.66666667,NA,13.09,48.7,4.57,3.98,Beit_Zeida,2,Hot,North,1,35.64005,32.90438,260203,756687,22.98,456,10.07,-184,20.70624924,10.80416965,42.07240295,560.8225098,32.89000702,7.20999336,25.68001366,13.82332897,27.1483345,27.28666496,13.82332897,386.5003357,97.90006256,108.5603104,251.7001953,251.7001953,31,34,7,73,66,40,27,7.65,438,7.565,8.185
HS0205,2019,14,14,2,1,93,5,11.9,22.2,5.9,0,14.7,NA,617.1,1336.4,1450.2,1874.3,1942.85,2047.05,2488.4,NA,48,103,109,26,4,5,27,1.4,49,3,16.33333333,NA,15,29.4,5.52,5.07,Beit_Zeida,2,Hot,North,1,35.64005,32.90438,260203,756687,22.98,456,10.07,-184,20.70624924,10.80416965,42.07240295,560.8225098,32.89000702,7.20999336,25.68001366,13.82332897,27.1483345,27.28666496,13.82332897,386.5003357,97.90006256,108.5603104,251.7001953,251.7001953,31,34,7,73,66,40,27,7.65,438,7.565,8.185
