site_id,forTecnicalReps,Sampling Site,Feature,Polygon,PoligonNo,ï..organic.material....,pH,PH,Electrical.Conductivity..mS.cm.,Inorganic.P..mg.kg.,Inorganic.P...standard.deviation,mgAl.Kg,mgCa.Kg,mgCu.Kg,mgFe.Kg,mgK.Kg,mgMg.Kg,mgMn.Kg,mgNa.Kg,mgP.Kg,mgS.Kg,mgV.Kg,mgZn.Kg,Clay....,Silt....,Sand....,Sand..50.100..Î.m....,Sand..100.250..Î.m....,Sand..250.500..Î.m....,Sand..500.1000..Î.m....,Sand..1000.2000..Î.m....,Inorganic.Carbon..mg.Kg.,Total.Carbon.mg.Kg.,Organic.Carbon..mg.Kg.,Total.N..mg.Kg.,March..temp,Precipitation,December...temp,Elevation,MoistureContent,CECSOL_1km,CLYPPT_1km,CRFVOL_1km,PHIHOX_1km,PHIKCL_1km,SLTPPT_1km,SNDPPT_1km,Field_capacity
HS11,HS11,Masciot,Soil,Desert,3,6.168831169,8.26,moderately alkaline,328,13.35164674,3.884416197,17.01976402,728.8756343,0.053917859,11.8038031,31.04894273,53.56917615,0.128575741,15.22396331,1.813087513,19.08681861,1.045634256,0.024916978,17.92207107,73.9424135,7.993960024,2.928278374,1.952644932,1.480219176,0.972335352,0.511563825,792.5971115,1124.607668,311.5131709,127.2372678,22.54,247.64,11.48,-55,0.076,18.0,31.0,14.0,81.0,73.0,41.0,29.0,8.424
HS12,HS12,Mount_Ramon,Cold,Desert,3,4.596527068,8.23,moderately alkaline,601,37.16514061,1.460238714,128.0166373,602.1938326,0.19445981,8.30178906,305.5642488,100.2725214,0.817654043,28.04042249,13.23619658,37.67691505,1.042553594,0.375700344,14.98114193,53.46594354,25.65804428,10.99524514,4.502212226,1.490664562,0.682972832,7.986949515,807.9005874,1176.819172,348.4211997,148.3896537,17.27,72.85,7.82,1009,0.082,13.0,19.0,18.0,79.0,79.0,29.0,52.0,4.951
HS13,HS13,Masada,Hot,Desert,3,2.304609218,8.1,moderately alkaline,663,38.0134317,5.025142525,10.54867797,650.1293799,0.07012208,6.169067249,62.41294701,60.80680057,0.094843845,35.84294016,3.675417147,71.36584052,0.833285486,0.041315546,12.08716096,56.23896795,31.49854078,26.19134332,4.291474857,0.630481364,0.098939607,0.28630163,690.6422827,914.8507717,203.7111036,124.9687447,25.21,58.49,12.08,-361,0.069,17.0,21.0,28.0,77.0,80.0,32.0,48.0,2.061
HS14,HS14,Maale_Akrabim,Min Prec,Desert,3,4.282868526,7.84,moderately alkaline,1016,23.66400793,0.738510225,5.812509002,702.9972861,0.289948109,2.655251452,124.751573,91.14966935,0.062127329,56.53144534,4.745698719,101.9026044,0.88644865,0.018656716,17.87350241,54.75941114,25.08728258,9.943065959,3.394401014,1.799952231,4.103840344,5.846023034,824.4442438,1210.575709,365.6340801,135.4132602,21.06,53.46,11.44,433,0.078,13.0,19.0,18.0,79.0,77.0,30.0,51.0,1.953
HS15,HS15,Arad,CV,Desert,3,5.705705706,7.54,mildly alkaline,7004,44.34319324,4.30304356,3.727588161,1273.838052,0.25749267,2.164044698,132.0783138,223.9435201,0.06645906,466.0222061,5.142429995,387.8715318,1.382995662,0.041542082,16.71812512,61.63450348,21.64737141,15.88398197,5.00154321,0.734922256,0.02692397,0.0,668.7703515,1221.988124,532.7203871,286.0626964,20.93,94.43,10.89,379,0.088,14.0,21.0,28.0,79.0,76.0,37.0,42.0,2.456
HS16,HS16,Cabri,Soil,HZ1,4,13.55191257,7.59,mildly alkaline,565,28.73737187,2.604040734,9.424328443,991.0790985,0.128002415,5.109231495,62.2004997,63.33622797,0.123764497,22.17029936,7.155884139,30.54801311,0.627400895,0.10729361,25.37574717,62.82113478,11.79787115,5.96273916,4.175530453,1.209842092,0.374637903,0.075121542,1045.787687,1911.222767,844.9376945,176.3565826,20.5,650.92,10.33,73,0.108,21.0,26.0,10.0,74.0,56.0,33.0,41.0,8.955
HS17,HS17,Meron,Cold,HZ1,4,9.428284855,7.01,neurtal,332,13.03703003,0.462135321,36.50928269,181.2339181,0.103247918,18.39337191,44.0357488,59.4078651,0.281142258,19.94613419,1.433882842,18.18252545,0.181815018,0.020627063,28.41872737,65.7779007,5.803371929,4.375299159,1.188914447,0.169157152,0.069934514,6.67e-05,192.5810919,960.6263058,768.045214,64.98326263,13.67,896.59,6.63,1084,0.119,26.0,26.0,20.0,71.0,55.0,35.0,39.0,8.195
HS18,HS18,Alon_Hagalil,Min Prec,HZ1,4,10.17348469,7.64,mildly alkaline,452,17.55698355,1.841647839,7.729372937,825.9570957,0.099009901,4.806105611,49.19141914,36.09323432,0.066006601,22.77227723,3.626237624,26.81518152,0.853960396,0.0,21.06633448,73.53157315,5.396359818,3.224434916,1.377168974,0.427459147,0.283236226,0.084060555,645.1881716,1191.702215,546.514043,76.55305493,20.29,575.04,9.52,200,0.143,24.0,29.0,13.0,77.0,61.0,35.0,36.0,10.982
HS19,HS19,Afek(K_Bialik),CV,HZ1,4,6.878306878,7.55,mildly alkaline,331,25.95914638,1.648671827,22.47051716,792.4016416,0.16938016,19.53808299,137.7382882,42.06374948,0.198084272,27.57718859,5.782128735,25.21254365,2.098824695,0.061841053,24.17853935,62.11705871,13.69917133,7.442312369,4.67774253,1.067473253,0.429854065,0.081789109,589.5050727,1218.949161,629.4440877,69.96485867,20.16,588.03,9.05,19,0.089,29.0,32.0,2.0,76.0,58.0,36.0,32.0,6.343
HS20,HS20,Rechasim,Hot,HZ1,4,12.0,7.84,moderately alkaline,381,19.41706521,3.25196353,20.12969396,857.0604826,0.169357392,14.6554851,12.08035413,53.94088574,0.15713425,34.63768649,3.472852781,26.43547877,0.896251366,0.142679901,27.65996465,65.51306802,6.790196014,3.402429452,1.761366514,0.741156515,0.578127262,0.307116271,697.2294908,1241.030413,543.8009219,75.37332723,21.04,637.58,9.9,101,0.136,23.0,25.0,11.0,73.0,57.0,34.0,41.0,10.803
HS21,HS21,Meirav,Soil,HZ2,5,7.736063709,7.87,moderately alkaline,461,18.68776322,1.540013201,15.79354055,631.4820904,0.070337258,10.40656864,55.4998317,45.37615142,0.093037289,64.6513308,3.596415612,19.00973679,1.479483769,0.0,18.96155963,73.921901,7.019498865,3.840493395,1.509106801,0.591496847,0.62056432,0.457837501,556.1964781,1168.717861,612.5213826,72.2878218,22.23,360.46,11.26,14,0.122,26.0,36.0,12.0,79.0,64.0,41.0,24.0,12.624
HS22,HS22,Sde_Ilan,Cold,HZ2,5,8.102345416,7.18,neurtal,480,198.249261,4.323956044,25.42602599,136.7229124,0.31426502,30.55636399,254.1240004,35.83549946,0.314098482,26.53680673,76.26901842,13.63771037,1.181687116,0.105520937,24.5100955,66.14747713,9.342427368,6.844930269,1.969605109,0.49221226,0.03567973,0.0,172.4894197,1095.990144,923.5007246,74.2820331,20.6,494.4,8.23,172,0.139,25.0,36.0,12.0,76.0,61.0,38.0,26.0,7.404
HS23,HS23,Gesher,Hot,HZ2,5,8.004268943,8.14,moderately alkaline,356,18.19346552,2.183597968,9.762533286,627.0295209,0.095429334,7.780435182,187.1032922,85.101277,0.037344604,32.6504871,3.070343166,26.13915996,1.141078239,0.074782028,28.13218837,61.85203454,9.978193557,4.391720367,2.970004812,1.400176173,0.919363038,0.296929167,657.2311732,1241.989585,584.7584122,60.27173227,24.0,375.22,11.97,-204,0.12,28.0,36.0,14.0,79.0,68.0,43.0,21.0,8.941
HS24,HS24,Givat_Hamoreh,CV,HZ2,5,8.203530633,7.95,moderately alkaline,318,11.88388864,1.890834816,23.05843621,580.8268235,0.078270992,10.28813732,20.82096213,35.99536399,0.086766943,35.69908811,2.143287484,16.48949749,0.280366388,0.062034739,25.44787631,69.149598,5.38744358,3.21843642,1.164071407,0.421471377,0.399788502,0.183675875,481.693142,1064.342219,582.6490766,62.70307043,18.37,468.15,10.66,501,0.13,30.0,28.0,18.0,75.0,59.0,37.0,36.0,9.577
HS25,HS25,Tirat_Zvi,Min Prec,HZ2,5,6.053811659,7.45,mildly alkaline,488,14.59033456,1.783701855,23.57818419,420.5700354,0.202279202,23.84859439,189.1907811,194.4758958,0.202340471,192.9189106,3.030603805,18.5797874,2.403047106,0.0,27.31169623,64.95888978,7.712943339,3.849371527,1.909526646,0.950350366,0.724680525,0.279014275,750.8372878,1285.474466,534.6371776,61.7257902,24.36,275.0,10.31,-252,0.113,22.0,35.0,8.0,77.0,70.0,43.0,23.0,12.136
HS26,HS26,Megido_Forest,Soil,HZ3,6,10.7587769,7.73,mildly alkaline,484,27.01327839,4.455319985,9.614598433,774.1576378,0.177751026,7.87989624,46.58263314,34.508042,0.074431451,18.50446118,9.49212384,21.90153879,0.909208166,0.0,17.60505254,74.88998959,7.367926916,3.218070746,2.032286329,0.694638873,0.849708193,0.573222775,645.6057323,1275.264764,629.659032,82.9320798,19.73,652.7,9.99,233,0.118,24.0,24.0,15.0,76.0,60.0,34.0,42.0,13.261
HS27,HS27,Revivim,Min Prec,HZ3,6,1.826923077,8.14,moderately alkaline,440,13.78127224,1.087351539,17.72339552,494.4887725,0.061871356,13.32522542,69.37611943,65.89408653,0.198061861,20.82771191,2.864697893,19.37628282,0.729681708,0.0,12.09338261,40.25786842,47.64437301,22.04615607,22.5695879,2.801943622,0.176908446,0.049776967,550.5069006,864.6971096,314.1902089,45.6574981,21.57,110.49,7.93,268,0.058,10.0,19.0,7.0,80.0,74.0,29.0,53.0,1.141
HS28,HS28,Orim,Hot,HZ3,6,1.771653543,8.01,moderately alkaline,370,12.90097362,2.662911632,21.41324729,495.978749,0.066129747,18.77994516,85.24678587,46.55519843,0.239602318,14.83451144,2.797624912,14.46357322,0.677614403,0.278465347,6.264304659,32.64224188,61.09345346,35.55787368,23.3019712,2.205429572,0.02817901,0.0,427.2977304,996.3924707,569.0947402,52.57543957,22.34,236.17,9.93,81,0.066,17.0,26.0,5.0,80.0,68.0,33.0,42.0,1.263
HS29,HS29,Hagosh_Junction,Cold,HZ3,6,5.426356589,7.97,moderately alkaline,363,11.9713064,1.893083051,16.46432824,619.7754496,0.065843621,9.727792584,64.0680493,50.34554626,0.094691052,12.12207824,3.029694983,16.07593256,0.679992648,0.0,25.28253139,62.81728537,11.89880056,7.612332333,2.43087363,1.043557139,0.714420835,0.097616625,574.4691359,974.3159903,399.8468545,51.31544453,15.3,575.0,5.38,920,0.14,22.0,31.0,23.0,79.0,65.0,32.0,38.0,10.682
HS30,HS30,Amona,CV,HZ3,6,7.804370447,8.04,moderately alkaline,442,25.36266615,0.972433517,19.48776383,647.1252711,0.111713969,4.742972483,42.52317815,103.5979737,0.091025435,40.35815546,5.512707348,22.34999527,0.620830916,0.0,14.23388701,79.19329158,6.572821415,5.129286181,1.216132643,0.176550933,0.050851658,0.0,640.027421,1153.874545,513.8471235,81.24230217,16.22,479.73,7.16,873,0.078,23.0,31.0,30.0,78.0,67.0,31.0,39.0,8.389
