trait	gene_id	region	n_snps	n_samples
fiber	HORVU.MOREX.r3.4HG0339140	4H:24790689-24794640	24	290
fiber	HORVU.MOREX.r3.7HG0642350	7H:14779718-14783145	14	290
fiber	HORVU.MOREX.r3.7HG0642360	7H:14812488-14816418	10	290
fiber	HORVU.MOREX.r3.7HG0642370	7H:14830792-14833100	3	290
fiber	HORVU.MOREX.r3.7HG0642420	7H:14913961-14917016	1	290
fiber	HORVU.MOREX.r3.7HG0642460	7H:14921844-14927256	6	290
fiber	HORVU.MOREX.r3.7HG0642480	7H:15003937-15007822	30	290
fiber	HORVU.MOREX.r3.7HG0729020	7H:573445798-573450876	27	290
fiber	HORVU.MOREX.r3.7HG0729030	7H:573603051-573606728	27	290
fiber	HORVU.MOREX.r3.7HG0729040	7H:573717137-573719745	0	290
fiber	HORVU.MOREX.r3.7HG0729050	7H:573725587-573728907	19	290
fiber	HORVU.MOREX.r3.7HG0729090	7H:573790554-573794005	13	290
fiber	HORVU.MOREX.r3.7HG0729100	7H:573792434-573795861	19	290
fiber	HORVU.MOREX.r3.7HG0729110	7H:573796500-573800871	12	290
fiber	HORVU.MOREX.r3.7HG0729120	7H:573799157-573803112	3	290
fiber	HORVU.MOREX.r3.7HG0729130	7H:573804532-573807294	5	290
protein	HORVU.MOREX.r3.3HG0245560	3H:106440309-106444936	0	290
starch	HORVU.MOREX.r3.3HG0301650	3H:546326317-546328709	2	290
starch	HORVU.MOREX.r3.3HG0301700	3H:546467087-546469890	0	290
starch	HORVU.MOREX.r3.3HG0301710	3H:546472709-546478564	16	290
starch	HORVU.MOREX.r3.3HG0301720	3H:546478164-546484019	26	290
starch	HORVU.MOREX.r3.3HG0301750	3H:546581184-546588549	7	290
starch	HORVU.MOREX.r3.6HG0619820	6H:525612893-525628862	24	290
starch	HORVU.MOREX.r3.6HG0619890	6H:525912405-525915470	3	290
starch	HORVU.MOREX.r3.7HG0676500	7H:151238588-151241081	1	290
starch	HORVU.MOREX.r3.7HG0729020	7H:573445798-573450876	27	290
starch	HORVU.MOREX.r3.7HG0729030	7H:573603051-573606728	27	290
starch	HORVU.MOREX.r3.7HG0729040	7H:573717137-573719745	0	290
starch	HORVU.MOREX.r3.7HG0729050	7H:573725587-573728907	19	290
starch	HORVU.MOREX.r3.7HG0729090	7H:573790554-573794005	13	290
starch	HORVU.MOREX.r3.7HG0729100	7H:573792434-573795861	19	290
starch	HORVU.MOREX.r3.7HG0729110	7H:573796500-573800871	12	290
starch	HORVU.MOREX.r3.7HG0729120	7H:573799157-573803112	3	290
starch	HORVU.MOREX.r3.7HG0729130	7H:573804532-573807294	5	290
